,questions,short_answers,responses,logits_of_answers
6487,Answer the question concisely with only the answer: how many timeouts do you get in the nfl? Answer:,Timeouts in each half,3. 1 per,0.5665007829666138
6488,Answer the question concisely with only the answer: what did the girl in blow die from? Answer:,cancer,Cocaine overdose. Answer the,0.6951195597648621
6489,Answer the question concisely with only the answer: when did we start celebrating australia day on 26 january? Answer:,By 1935,"1915.
Who is",0.5863711833953857
6490,Answer the question concisely with only the answer: when did champions league final moved to saturday? Answer:,22 May 2010,2021. when did,0.7738868594169617
6491,Answer the question concisely with only the answer: texas a m university is in which city? Answer:,"College Station, Texas","College Station.
Answer the question",0.920256495475769
6492,Answer the question concisely with only the answer: when does a pay day loans typically mature? Answer:,At the borrower's next paycheck,Typically 14 to 30,0.5572558641433716
6493,Answer the question concisely with only the answer: what does mpls stand for on the lakers jerseys? Answer:,Minneapolis,"Minneapolis.
What does mpls",0.6597610116004944
6494,Answer the question concisely with only the answer: what two continents formed when pangaea began breaking up? Answer:,"North America, Africa",Laurasia and Gondw,0.8779494166374207
6495,Answer the question concisely with only the answer: who plays the yoga instructor in orange is the new black? Answer:,Constance Schulman,Uzo Aduba.,0.9393855929374695
6496,Answer the question concisely with only the answer: what is the use of joins in sql? Answer:,Combines columns from one or more tables in a relational database,The use of joins in SQL,0.866675078868866
6497,Answer the question concisely with only the answer: who gave voice for king julian in madagascar? Answer:,Daniel C. `` Danny '' Jacobs Jr.,Sacha Baron Cohen. (,0.8367945551872253
6498,Answer the question concisely with only the answer: who did elton john write philadelphia freedom for? Answer:,Billie Jean King,"The Eagles. 
Who did",0.6247610449790955
6499,Answer the question concisely with only the answer: explain the behavior and activity of a retreating glacier? Answer:,Proceeds very slowly after the melting of the ice sheet or glacier,A retreating glacier is a,0.6919009685516357
6500,Answer the question concisely with only the answer: what are the issues discussed by the encyclical laudato si? Answer:,"Critiques consumerism and irresponsible development, Laments environmental degradation and global warming","Climate change, consumerism,",0.744706392288208
6501,Answer the question concisely with only the answer: who is the chairman of 14 finance commission? Answer:,Prof. YVR eddy,"N.K Singh., Answer",0.5876884460449219
6502,Answer the question concisely with only the answer: who was chris webber drafted for on draft night? Answer:,Penny Hard away,"The Orlando Magic. 

Who",0.6851252317428589
6503,Answer the question concisely with only the answer: who wrote how much is that doggie in the window? Answer:,Bob Merrill,Hanny Bluestein,0.6817378401756287
6504,Answer the question concisely with only the answer: when did the vikings attack the monastery at lindisfarne? Answer:,793,"793.
Answer the question",0.8966655731201172
6505,Answer the question concisely with only the answer: what is the latest operating system for the ipad? Answer:,iOS 11. .,iPadOS 15.1,0.6491984128952026
6506,Answer the question concisely with only the answer: when did france give the us the statue of liberty? Answer:,"July, 1884","July 4, 188",0.8914408683776855
6507,Answer the question concisely with only the answer: how many athabaskan language groups exist in alaska? Answer:,"Three groups of contiguous languages : Northern, Pacific Coast and Southern (or Apache an)","22
What are the",0.47902393341064453
6508,Answer the question concisely with only the answer: where is long day journey into night set? Answer:,The seaside Connecticut home of the Tyrone's' Monte Crisco Cottage,The setting of Long Day's,0.6347486972808838
6509,Answer the question concisely with only the answer: hereditary spherocytosis occurs due to mutation in genes coding for? Answer:,Mutations in genes relating to membrane proteins that allow for the erythrocytes to change shape,spectrin and ankyrin,0.7995430827140808
6510,Answer the question concisely with only the answer: what is the name of the river in bangkok? Answer:,Chao Phrase,"Chao Phraya.
What",0.7546848654747009
6511,Answer the question concisely with only the answer: once upon a time season 2 episode 3? Answer:,Lady of the Lake,3x01.,0.23042497038841248
6512,Answer the question concisely with only the answer: who won icc cricketer of the year award? Answer:,Virat Kohli (India),"Virat Kohli
Who",0.7070415019989014
6513,Answer the question concisely with only the answer: parc v commonwealth of pennsylvania 1972 granted a free and appropriate public education to? Answer:,To all children,a child with a disability.,0.7238682508468628
6514,Answer the question concisely with only the answer: what is the name of the satellite that orbits earth? Answer:,Moon,"Geostationary.

##",0.6568971276283264
6515,Answer the question concisely with only the answer: what magazine did andrea sachs work for in the fashion industry? Answer:,Runway magazine,"British Vogue. 

Please let",0.3421109616756439
6516,Answer the question concisely with only the answer: who became the supreme in american horror story? Answer:,Cordelia,Jessica Lange. who was the,0.688943088054657
6517,Answer the question concisely with only the answer: which war brought about an end to british rule in america? Answer:,American War of Independence,The American Revolutionary War.,0.7450370788574219
6518,Answer the question concisely with only the answer: who wrote i wish i knew how it would feel to be free? Answer:,"Billy Taylor, Dick Dallas","Maya Angelou.
Answer the",0.78899085521698
6519,Answer the question concisely with only the answer: most wins by a pitcher in major league baseball? Answer:,CY Young holds the MLB win record with 511,511. by the pitcher,0.5709431171417236
6520,Answer the question concisely with only the answer: when did they quit making silver half dollars? Answer:,1965,"1969. 
The",0.7446631193161011
6521,Answer the question concisely with only the answer: who sings the song let's get it started in here? Answer:,American group The Black Eyed Peas,P. Diddy (feat,0.46628355979919434
6522,Answer the question concisely with only the answer: who wins ru pauls drag race season 6? Answer:,Bianca Del Rio,Bianca Del Rio.,0.892490029335022
6523,Answer the question concisely with only the answer: where is the place named surya kund situated? Answer:,Bel Ami gram penchant of Maratha community development block in Bar hi subdivision of Hazaribagh district in the Indian state of Jharkhand,"In the state of Maharashtra,",0.5213527083396912
6524,Answer the question concisely with only the answer: who is the narrator in the grinch movie? Answer:,Anthony Hopkins,The narrator is Boris Karloff,0.8084701299667358
6525,Answer the question concisely with only the answer: who is the richest person in the worls? Answer:,Amazon founder Jeff Bezos,"Jeff Bezos. 
Who",0.7241823077201843
6526,Answer the question concisely with only the answer: when did air force one shoes come out? Answer:,1982,"1982. 
When",0.8015612959861755
6527,Answer the question concisely with only the answer: the 2010 commonwealth games held in which country? Answer:,India,"India.
Answer the question conc",0.8126082420349121
6528,Answer the question concisely with only the answer: the shape of earth's orbit around the sun is? Answer:,elliptical,"Elliptical.
Answer the",0.7214707136154175
6529,Answer the question concisely with only the answer: who invented the first printing press in 1450? Answer:,Johannes Gutenberg,"Johannes Gutenberg.
Answer the question",0.8383315801620483
6530,Answer the question concisely with only the answer: who wrote and performed the theme song for dawsons creek? Answer:,Paula Cole,"Michael Skloff. 
The",0.49899476766586304
6531,Answer the question concisely with only the answer: who won first gold medal for india in olympics? Answer:,Abhinav Indra,Norman Pritchard.,0.7363893389701843
6532,Answer the question concisely with only the answer: where does the book of proverbs come from? Answer:,"Second book of the third section (called Writings) of the Hebrew Bible, Christian Old Testament",The book of Proverbs is,0.8281974196434021
6533,Answer the question concisely with only the answer: who dies in the best exotic marigold hotel? Answer:,The Englishman,Evelyn Greenslade.,0.9088268280029297
6534,Answer the question concisely with only the answer: which layer takes up most of the earth's volume? Answer:,space,"crust.?
Answer the question",0.5989759564399719
6535,Answer the question concisely with only the answer: when is the election for governor of virginia? Answer:,"November, 2017","November 2, 202",0.8832907676696777
6536,Answer the question concisely with only the answer: what is the highest area of land in russia? Answer:,Mount Elbrus,"Mount Elbrus.
Mount",0.7865027785301208
6537,Answer the question concisely with only the answer: what is the purpose of a micro bit? Answer:,"To encourage children to get actively involved in writing software for computers and building new things, Rather than being consumers of media",The purpose of a micro bit,0.7705361247062683
6538,Answer the question concisely with only the answer: how many hydrogen bonds form between g and c? Answer:,three,"4

## Step",0.7535635232925415
6539,Answer the question concisely with only the answer: who played the role of ben matlock in the original tv series? Answer:,Andy Griffith,"William Conrad. 
Answer the",0.5889676213264465
6540,Answer the question concisely with only the answer: when was call the midwife first shown on tv? Answer:,On 15 January 2012,"2008. 
Answer",0.763789176940918
6541,Answer the question concisely with only the answer: what type of healthcare system does china have? Answer:,Both public and private,"Mixed healthcare system. 
The",0.527965247631073
6542,Answer the question concisely with only the answer: who was the first president of indian science congress meeting held in kolkata in 1914? Answer:,Sir Ashutosh Mukherjee,The first president of the,0.634723424911499
6543,Answer the question concisely with only the answer: when did the tv show swat come out? Answer:,1975,"2017. 
The",0.7971837520599365
6544,Answer the question concisely with only the answer: what is the name of the deepest location in the worlds ocean? Answer:,Mariana Trench,"The Challenger Deep.
What is",0.7915148735046387
6545,Answer the question concisely with only the answer: when was the last time horses were used in war? Answer:,After World War I,The last recorded use of horses,0.7123393416404724
6546,Answer the question concisely with only the answer: who is the present chairperson of national human rights commission in india? Answer:,Justice H.L. Data,Arun Kumar Mishra.,0.9885215163230896
6547,Answer the question concisely with only the answer: if the price of crackers goes up when the price of cheese goes down crackers and cheese are? Answer:,complements,"complementary goods.
Answer the question",0.8661379814147949
6548,Answer the question concisely with only the answer: what is the number one sport in the usa? Answer:,Football,Football. Answer the question conc,0.7281308174133301
6549,Answer the question concisely with only the answer: who does scar's voice on the lion king? Answer:,Jeremy Irons,"Jeremy Irons. 
The",0.7163455486297607
6550,Answer the question concisely with only the answer: when did the education system start in the uk? Answer:,597 and 604,"597.
Answer the question",0.5346996188163757
6551,Answer the question concisely with only the answer: who identified several general guiding principles for moral behavior? Answer:,Aristotle,"Immanuel Kant.
Who identified",0.53843754529953
6552,Answer the question concisely with only the answer: japanese for spirits these are associated with shintoism? Answer:,Kali,"Kami
Answer the question conc",0.8990263938903809
6553,Answer the question concisely with only the answer: who did the u.s. fight in world war i? Answer:,"Germany, Austro-Hungarian Empire","The Central Powers, specifically Germany",0.7840920686721802
6554,Answer the question concisely with only the answer: when did the first episode of greys anatomy come out? Answer:,"March 27, 2005","September 27, 200",0.9815454483032227
6555,Answer the question concisely with only the answer: where is the painted desert located on a map? Answer:,The Four Corners area running from near the east end of the Grand Canyon National Park southeast into the Petrified Forest National Park,The Painted Desert is located,0.9274579882621765
6556,Answer the question concisely with only the answer: who invented the cobb salad curb your enthusiasm? Answer:,Robert Howard Cobb,"Jerry Seinfeld. 

Please",0.5583128929138184
6557,Answer the question concisely with only the answer: who is in the group the traveling wilburys? Answer:,"Bob Dylan, George Harrison, Jeff Lynne, Roy Orbison, Tom Petty",The Traveling Wilburys,0.9006985425949097
6558,Answer the question concisely with only the answer: who played james bond in the first movie? Answer:,Barry Nelson,"Sean Connery. 
Who",0.8718863725662231
6559,Answer the question concisely with only the answer: who plays leslie winkle on the big bang theory? Answer:,Sara Gilbert,"Melissa Rauch. 
Who",0.6836022734642029
6560,Answer the question concisely with only the answer: when was italy finally united as a single country? Answer:,1871,"1871.
What was",0.6668003797531128
6561,Answer the question concisely with only the answer: how many seats in lok sabha election 2014? Answer:,543,543. Step 1,0.8446402549743652
6562,Answer the question concisely with only the answer: who played worf on star trek the next generation? Answer:,Michael Born,"Michael Dorn.
Who played",0.8518902659416199
6563,Answer the question concisely with only the answer: who sang better off dead in the movie better off dead? Answer:,E.G. Daily,Emilio Estevez.,0.8331789374351501
6564,Answer the question concisely with only the answer: what does d.c stand for in washington dc? Answer:,District of Columbia,District of Columbia. What does,0.859245240688324
6565,Answer the question concisely with only the answer: when did vasari write lives of the artists? Answer:,1550,"1550.
Answer the",0.8836056590080261
6566,Answer the question concisely with only the answer: who sang the world is like a great big onion? Answer:,"Marvin Gaye, Tammi Terrell","Huddie Ledbetter,",0.7660099864006042
6567,Answer the question concisely with only the answer: when did the first fleet arrive in australia? Answer:,18 to 20 January 1788,"January 26, 178",0.8704500198364258
6568,Answer the question concisely with only the answer: when does the new season of series of unfortunate events start? Answer:,Early 2018,The new season of series of,0.7403944730758667
6569,Answer the question concisely with only the answer: where was the movie stir of echoes filmed? Answer:,"Chicago, Joliet, Illinois","New York City, New York",0.522980809211731
6570,Answer the question concisely with only the answer: who is the girl dancing in thinking out loud? Answer:,"Brittany Cherry, A contestant from the televised American dance competition, So You Think You Can Dance","Halsey. 
The",0.6914645433425903
6571,Answer the question concisely with only the answer: cotransport is an active process in which the energy is supplied by? Answer:,The electrochemical potential difference created by pumping ions in / out of the cell,The hydrolysis of ATP,0.7188710570335388
6572,Answer the question concisely with only the answer: who published the first collected edition of hopkins poem in 1918? Answer:,Robert Bridges,"Henry Newbolt. 
The",0.458415687084198
6573,Answer the question concisely with only the answer: when was charlie and the chocolate factory movie made? Answer:,"July 10, 2005",1971. (Note,0.7204927206039429
6574,Answer the question concisely with only the answer: who got the most rings in nba history? Answer:,Bill Russell,"Bill Russell. 

The question",0.6080049276351929
6575,Answer the question concisely with only the answer: when was the last time swedish house mafia performed? Answer:,"March 25, 2018","2022. 
Note",0.6347221732139587
6576,Answer the question concisely with only the answer: who does alyson stoner play in phineas and ferb? Answer:,Isabella Garcia - Shapiro,Agent P. and/or Cand,0.3953491151332855
6577,Answer the question concisely with only the answer: who sang i want to give you devotion? Answer:,British dance outfit Nomad,"Bryan Adams. 
Who sang",0.7556681632995605
6578,Answer the question concisely with only the answer: where do the funds come from for unemployment? Answer:,Funded by a compulsory governmental insurance system,The funds for unemployment come from,0.76274174451828
6579,Answer the question concisely with only the answer: what time did one direction became a band? Answer:,July 2010,"2010. 
What",0.8409819602966309
6580,Answer the question concisely with only the answer: who sang i don't want to live without your love? Answer:,Chicago,"The Dramatics.
Answer the",0.648482620716095
6581,Answer the question concisely with only the answer: who played spencers mom in pretty little liars? Answer:,Lesley Era,Troian Bellisario's,0.8514871001243591
6582,Answer the question concisely with only the answer: who is included in the 18th congressional district? Answer:,"Parts of Greene, Washington, Allegheny, And Westmoreland counties",The 18th Congressional District,0.8369786143302917
6583,Answer the question concisely with only the answer: where do tornadoes happen in the united states? Answer:,"The Great Plains, The Midwest, The Mississippi Valley, The southern United States","The Midwest, Great Plains,",0.5774439573287964
6584,Answer the question concisely with only the answer: who does mila kunis play in american dad? Answer:,Meg Griffin,"Francine Smith. 
Answer",0.8685232996940613
6585,Answer the question concisely with only the answer: who is the youngest world champion in wwe history? Answer:,Brock Lesser,John Cena. Thank you for,0.6490926742553711
6586,Answer the question concisely with only the answer: who played earl in cornbread earl and me? Answer:,Pierre Turner,"Keith David.
Who played Earl",0.7124568819999695
6587,Answer the question concisely with only the answer: when did the metric system come to australia? Answer:,1966,"1966.
When did",0.6268366575241089
6588,Answer the question concisely with only the answer: when is the new mummy movie coming out? Answer:,"Theatrically released in the United States on June, 2017","The new Mummy movie,",0.9305585622787476
6589,Answer the question concisely with only the answer: where does the term fire in the hole come from? Answer:,"miners, Who needed to warn their fellows that a charge had been set","A term used in mining,",0.5584649443626404
6590,Answer the question concisely with only the answer: the oldowan complex is a part of the? Answer:,Lower Paleolithic period,"Old Stone Age
Answer the",0.6054663062095642
6591,Answer the question concisely with only the answer: who does tom marry in parks and rec? Answer:,Lucy,Leslie Knope.,0.8933398127555847
6592,Answer the question concisely with only the answer: where did the last name nettles come from? Answer:,"Locational surname, A person from a place overgrown with nettles",The surname Nettles is,0.8287374377250671
6593,Answer the question concisely with only the answer: where does the royal welsh show take place? Answer:,"Llanelwedd, Near Built Wells, In Polys, Mid-Wales",Builth Wells.,0.7662398219108582
6594,Answer the question concisely with only the answer: when is dunkirk coming out in the us? Answer:,21 July,"July 21, 201",1.0
6595,Answer the question concisely with only the answer: where does the earth internal heat comes from? Answer:,"The radiogenic heat produced by the radioactive decay of isotopes in the mantle and crust, And the primordial heat left over from the formation of the Earth",Primordial heat from the Earth,0.5508424639701843
6596,Answer the question concisely with only the answer: greater than the sum of its parts word? Answer:,Synergy,Synergy. Explanation: Sy,0.6099922060966492
6597,Answer the question concisely with only the answer: transformers the revenge of the fallen heroine name? Answer:,Mikaela Banes,Arcee. Question 2,0.6693867444992065
6598,Answer the question concisely with only the answer: how many runways are there at gatwick airport? Answer:,A single - runway airport,2. How many run,0.7984695434570312
6599,Answer the question concisely with only the answer: who built the 1st film studio in the us? Answer:,Thomas Edison,Carl Laemmle.,0.8301467895507812
6600,Answer the question concisely with only the answer: when is the dragon ball super episode 107 coming out? Answer:,"September 17, 2017",There is no information available on,0.62535560131073
6601,Answer the question concisely with only the answer: who sang first cut is the deepest in seven psychopaths? Answer:,P.P. Arnold,"Guy Pearce. 
Answer the",0.8121613264083862
6602,Answer the question concisely with only the answer: in 2016 london elected its first blank mayor? Answer:,Muslim,Sadiq Khan.,0.8190895318984985
6603,Answer the question concisely with only the answer: when is season 2 of the punisher coming out? Answer:,In 2019,The Punisher Season 2,0.7551854848861694
6604,Answer the question concisely with only the answer: where was the first official flag day observed? Answer:,"In Nausea, Wisconsin, In 1895, Bernard J. Ci grand held the first recognized formal observance of Flag Day at the Stony Hill School","Philadelphia. 
Answer the question",0.6475039720535278
6605,Answer the question concisely with only the answer: in the tv series dad's army what was captain mainwaring's first name? Answer:,George,"George
Answer the question conc",0.827649712562561
6606,Answer the question concisely with only the answer: how many episodes in the killing on netflix? Answer:,Six episodes,"24.
The Killing is",0.7631267309188843
6607,Answer the question concisely with only the answer: when does deus ex mankind divided take place? Answer:,2029,"2027. 
De",0.797794759273529
6608,Answer the question concisely with only the answer: kalbeliya dance is form which district of rajasthan? Answer:,"Pale district, Then Ajmer, Chittorgarh and Udaipur district",Jaisalmer. Thanks for,0.77974534034729
6609,Answer the question concisely with only the answer: where are cannabinoid receptors located in the brain? Answer:,Central nervous system,"Throughout the brain, including the",0.7475132942199707
6610,Answer the question concisely with only the answer: who plays anna scott's boyfriend in notting hill? Answer:,Alec Baldwin,"Hugh Grant. 
Answer the",0.7869077920913696
6611,Answer the question concisely with only the answer: what is the cutoff year for smog in ca? Answer:,1976,"2025.
Answer the",0.5115625262260437
6612,Answer the question concisely with only the answer: who has the fastest 40 yard dash in the nfl ever? Answer:,Jake em Grant,"Bo Jackson. 
Answer the",0.6477446556091309
6613,Answer the question concisely with only the answer: english goalkeeper made his world cup debut aged 39? Answer:,David Benjamin James,"David Seaman. 
Answer",0.8088845014572144
6614,Answer the question concisely with only the answer: how many countries i can go with canadian passport? Answer:,172,"184
The Canadian passport",0.6808971166610718
6615,Answer the question concisely with only the answer: who formed the 1st and 2nd estate of french society? Answer:,"Clergy (the First Estate), Nobles (the Second Estate)",The nobility formed the,0.7368053197860718
6616,Answer the question concisely with only the answer: who sings chances are on hope floats soundtrack? Answer:,"Bob Sewer, Martina McBride","Alison Krauss. 

Al",0.6433097720146179
6617,Answer the question concisely with only the answer: who played mrs. hathaway on the beverly hillbillies? Answer:,Nancy Jane Pulp,Irene Ryan. Irene Ryan played,0.8055526614189148
6618,Answer the question concisely with only the answer: what year does the handmaid's tale show take place? Answer:,Near future,1966. The Hand,0.550054132938385
6619,Answer the question concisely with only the answer: who played deacon's wife on king of queens? Answer:,Merlin Dunged,Bonnie Somerville.,0.6638970375061035
6620,Answer the question concisely with only the answer: who came up with the 2nd law of thermodynamics? Answer:,Said Carnot,Rudolf Clausius. was,0.6624870300292969
6621,Answer the question concisely with only the answer: what shade of green is the statue of liberty? Answer:,Verdigris,patina. What is the,0.5583130717277527
6622,Answer the question concisely with only the answer: who won season 5 of americas got talent? Answer:,Soul singer Michael Grimm,Michael Grimm. who won season,0.861844003200531
6623,Answer the question concisely with only the answer: when did the movie the day after come out? Answer:,"November 20, 1983","1983. 
The",0.8809109926223755
6624,Answer the question concisely with only the answer: where was the superbowl played when the saints won? Answer:,"Hard Rock Stadium (formerly Joe Robbie Stadium) in Miami Gardens, Florida","Miami. 
This is the",0.4911687970161438
6625,Answer the question concisely with only the answer: where can i use my golden age passport? Answer:,United States national parks,"Worldwide, except for the following",0.3195890188217163
6626,Answer the question concisely with only the answer: when did the articles of confederation go into effect? Answer:,"March, 1781","March 1, 178",0.9685462713241577
6627,Answer the question concisely with only the answer: when does blood flow from the aorta into the coronary arteries? Answer:,"The left posterior aortic sinus and anterior aortic sinus, Give rise to the left and right coronary arteries, respectively",During diastole.,0.6249639987945557
6628,Answer the question concisely with only the answer: who sings the theme song to dog bounty hunter? Answer:,Ozzy Osbourne,"Travis Tritt. 
Who",0.7091213464736938
6629,Answer the question concisely with only the answer: what is a monsignor in the roman catholic church? Answer:,"An honorific form of address for those members of the clergy of the Catholic Church including bishops, Honorary prelates and canons",A high-ranking church official who,0.7105788588523865
6630,Answer the question concisely with only the answer: where did the first fleet come ashore and settle? Answer:,Botany Bay,"Botany Bay. 
Answer",0.7683849334716797
6631,Answer the question concisely with only the answer: where is scylla and charybdis located in the odyssey? Answer:,On opposite sides of the Strait of Messina between Sicily and the Italian mainland,Between the Strait of Messina,0.7254743576049805
6632,Answer the question concisely with only the answer: who is directing the new star wars movie? Answer:,Ran Johnson,"Taika Waititi.
Ta",0.6350273489952087
6633,Answer the question concisely with only the answer: when does shepard die in grey's anatomy? Answer:,Season 11,"Season 11, Episode",0.9124318361282349
6634,Answer the question concisely with only the answer: which material would be used to kill microorganisms on the skin? Answer:,antiseptics,"Alcohol.

## Step 1",0.7307629585266113
6635,Answer the question concisely with only the answer: what is the rotation speed of the sun? Answer:,24.47 days at the equator and almost 38 days at the poles,25.4 km/s,0.794862687587738
6636,Answer the question concisely with only the answer: when was the movable type printing technique invented? Answer:,AD 1040,1041 AD. Is,0.740798830986023
6637,Answer the question concisely with only the answer: when did twenty one pilots signed to fueled by ramen? Answer:,Fueled by Ramen,"2009. 
Note",0.8780612945556641
6638,Answer the question concisely with only the answer: who did aaron judge play for in 2015? Answer:,"Trenton Thunder of the Class AA Eastern League, Scranton / Wilkes - Barre Railroaders of the Class AAA International League, The Yankees at the 2015 All - Star Futures Game","the Cleveland Indians. 
Who",0.5842251777648926
6639,Answer the question concisely with only the answer: the president has the power to make treaties however the treaty must also be approved by? Answer:,A super majority of the United States Senate,"Congress. 
Answer the question",0.5776834487915039
6640,Answer the question concisely with only the answer: where is the great british sewing bee filmed? Answer:,Metropolitan Wharf in London,"Bristol. 
Where is the",0.6139941215515137
6641,Answer the question concisely with only the answer: who sings the song i hate my life? Answer:,Theory of a Deadpan,3OH!3.,0.6300956010818481
6642,Answer the question concisely with only the answer: who plays oompa loompas in charlie and chocolate factory? Answer:,Deep Roy,"Deep Roy. 
Answer the",0.7166862487792969
6643,Answer the question concisely with only the answer: who was the first person to live in south africa? Answer:,Australopithecus,"Homo heidelbergensis.
The",0.5219821929931641
6644,Answer the question concisely with only the answer: the song in the movie i can only imagine? Answer:,I Can Only Imagine,"""I Can Only Imagine""",0.7084798812866211
6645,Answer the question concisely with only the answer: who played marla on a league of their own? Answer:,Megan Cavanagh,"Geena Davis. 
Answer",0.9278225302696228
6646,Answer the question concisely with only the answer: who plays madison grey on hawaii five o? Answer:,Elisabeth Room,"Grace Park. 
If you",0.6953490972518921
6647,Answer the question concisely with only the answer: where are the hearts that are used in transplants sourced from? Answer:,A recently deceased organ donor,From deceased donors. Source:,0.6606146693229675
6648,Answer the question concisely with only the answer: what is the thickness of the milky way? Answer:,"Approximately, 000 LY (. Kpc)",The thickness of the Milky Way,0.8446716666221619
6649,Answer the question concisely with only the answer: where is the glass bridge located in china? Answer:,"Zhangjiajie, China, Above the Wulingyuan area",Zhangjiajie National Forest,0.9565286040306091
6650,Answer the question concisely with only the answer: last italian driver to win a grand prix? Answer:,Giancarlo Fissurella,Alberto Ascari. Next question,0.6723558306694031
6651,Answer the question concisely with only the answer: what is the last 4 digits of a zip code called? Answer:,"Plus - four codes, Add - on codes, add-ons","ZIP+4.

## Step",0.6997113227844238
6652,Answer the question concisely with only the answer: who plays snow white on once upon a time? Answer:,Jennifer Michelle `` Jennifer '' Goodwin,Ginnifer Goodwin.,1.0
6653,Answer the question concisely with only the answer: when does anthony bourdain parts unknown season 11 start? Answer:,"April 29th, 2018","October 12, 202",0.6712369322776794
6654,Answer the question concisely with only the answer: who is the coach of ohio state football? Answer:,Urban Meyer,"Ryan Day. 
Ryan Day",0.6605148315429688
6655,Answer the question concisely with only the answer: when does gods plan music video come out? Answer:,"February 16, 2018",Not available. Gods plan is,0.3833687901496887
6656,Answer the question concisely with only the answer: what was the aim of the human genome project? Answer:,"Determining the sequence of nucleotide base pairs that make up human DNA, And of identifying and mapping all the genes of the human genome from both a physical and a functional standpoint",To map the entire human genome,0.8267905116081238
6657,Answer the question concisely with only the answer: when is international day for disaster reduction celebrated? Answer:,October 13,October 13th. Thank,0.7791674137115479
6658,Answer the question concisely with only the answer: who sings the song that's what i like? Answer:,Bruno Mars,"Bruno Mars. 
Who sings",0.7844513654708862
6659,Answer the question concisely with only the answer: who sings there's always something there to remind me? Answer:,"Dionne Warwick, Lou Johnson","Rod Stewart. 
Who sings",0.8359898924827576
6660,Answer the question concisely with only the answer: when did australian troops fight in new britain? Answer:,October 1944,1943-1945,0.812224805355072
6661,Answer the question concisely with only the answer: who played colonel flagg on the tv show mash? Answer:,Edward Dean Winter,"Alan Alda. 

The",0.5749582052230835
6662,Answer the question concisely with only the answer: where did the revolt begin as a mutiny? Answer:,10 May 1857,"The Nore. 
Answer",0.538845419883728
6663,Answer the question concisely with only the answer: how many episodes are in a season of nashville? Answer:,16,"22. 
Nash",0.6908473372459412
6664,Answer the question concisely with only the answer: when did star wars special edition come out? Answer:,1997,"1997. 
Star",0.8056682348251343
6665,Answer the question concisely with only the answer: when was the constitution ratified by most states? Answer:,1789,"1791. 
Answer",0.6146337985992432
6666,Answer the question concisely with only the answer: what are some names of some types of clouds? Answer:,"cirrus, cirrocumulus, cirrostratus, alto cumulus, altostratus, nimbostratus, cumulus, cumulonimbus, stratocumulus, stratus","Cirrus, Cumulus,",0.9024581909179688
6667,Answer the question concisely with only the answer: when did whiter shade of pale come out? Answer:,12 May 1967.,"1967. 
When",0.8008133172988892
6668,Answer the question concisely with only the answer: when did old time rock and roll come out? Answer:,1978,"1955. 
Old",0.7260209321975708
6669,Answer the question concisely with only the answer: who plays the son of hook in desendants 2? Answer:,Thomas Doherty,Thomas Doherty. who,0.8554021716117859
6670,Answer the question concisely with only the answer: where is the lateral femoral cutaneous nerve located? Answer:,Lateral part of the thigh,It is located in the anterior,0.7609681487083435
6671,Answer the question concisely with only the answer: who sang the story of my life first? Answer:,Marty Robbins,"The Monkees. 
Answer",0.6299723982810974
6672,Answer the question concisely with only the answer: where did kansas city's quarterback go to college? Answer:,Texas Tech,"Missouri. 
Answer the question",0.7103475332260132
6673,Answer the question concisely with only the answer: what do you win on the x factor? Answer:,A recording contract with record label SCO Music with a stated value of £ million,"A recording contract. 
Answer",0.6929639577865601
6674,Answer the question concisely with only the answer: who is the founder of raising cane's? Answer:,"Todd Graves, Craig Silva",Todd Graves and Craig Silvey,0.9253160357475281
6675,Answer the question concisely with only the answer: where is the las vegas stadium going to be built? Answer:,"West of Mandalay Bay at Russell Road and Hacienda Avenue and between Polaris Avenue and Dean Martin Drive, Just west of Interstate 15",Paradise Road and Russell Road.,0.649469256401062
6676,Answer the question concisely with only the answer: who plays eli roosevelt in sons of anarchy? Answer:,Richmond Dunbar,"Theo Rossi. 
Who plays",0.7076336741447449
6677,Answer the question concisely with only the answer: what is the baby mouse name on tom and jerry? Answer:,"Tough, Nibbles","Nibbles.
Answer the",0.9266786575317383
6678,Answer the question concisely with only the answer: when did the first afghan cameleers arrive in australia? Answer:,June 1860,1860. when did,0.8276970386505127
6679,Answer the question concisely with only the answer: who found the book of the law in the temple? Answer:,High Priest William,Hilkiah the priest.,0.7644946575164795
6680,Answer the question concisely with only the answer: actor who plays steve on days of our lives? Answer:,Stephen Nichols,"Stephen Nichols. 
What is",0.7700368762016296
6681,Answer the question concisely with only the answer: when did the first flatscreen tv come out? Answer:,1958,"1988. 
The",0.6808681488037109
6682,Answer the question concisely with only the answer: student of the year star cast real name? Answer:,Va run Drawn,"Alia Bhatt, Sid",0.8990728259086609
6683,Answer the question concisely with only the answer: what form of communication did ancient greece use? Answer:,Kline,oral and written forms of communication,0.6040102243423462
6684,Answer the question concisely with only the answer: when did the first web browser come out? Answer:,1990,"1990. 
When",0.8145243525505066
6685,Answer the question concisely with only the answer: if the president disapproves of a measure and sends it back to the congress for reconsideration? Answer:,The Presentment Clause,The president can veto the measure,0.6251080632209778
6686,Answer the question concisely with only the answer: what is the number of states in india? Answer:,29,"29
Answer the question",0.8040758967399597
