Unnamed: 0,questions,short_answers,responses,matches
2171,Answer the question concisely with only the answer: the things we do for love song artist? Answer:,10cc,"Mariah Carey. 
What",0
2172,Answer the question concisely with only the answer: where is clostridium tetani found in the body? Answer:,Gastrointestinal tract,In the intestines.,0
2173,Answer the question concisely with only the answer: who's the mayor of south bend indiana? Answer:,Peter Paul Montgomery Buttigieg,Pete Buttigieg.,1
2174,Answer the question concisely with only the answer: what is the name of sierra leone president? Answer:,Julius Mazda Bio,"Julius Maada Bio
The",1
2175,Answer the question concisely with only the answer: where did the last name parker come from? Answer:,Old French,"England.
The last name Parker",0
2176,Answer the question concisely with only the answer: who played gimli in the lord of the rings movies? Answer:,John Rays - Davies,John Rhys-Davies,1
2177,Answer the question concisely with only the answer: large trash island in the middle of the pacific? Answer:,Great Pacific garbage patch,Great Pacific Garbage Patch.,1
2178,Answer the question concisely with only the answer: when were the winter olympics held in italy? Answer:,"1956, 2006",1956. when were,0
2179,Answer the question concisely with only the answer: macao was a colony of what european country? Answer:,Portugal,"Portugal. 
Answer the question",1
2180,Answer the question concisely with only the answer: which russian leader defeated the tatars at the battle of kazan? Answer:,Johann Michelson,"Ivan IV.
Which Russian leader",0
2181,Answer the question concisely with only the answer: when was harry potter and the deathly hallows book released? Answer:,21 July 2007,"July 21, 200",1
2182,Answer the question concisely with only the answer: what is the function of the leaning tower of pisa? Answer:,Freestanding bell tower,"A bell tower.

## Step",1
2183,Answer the question concisely with only the answer: who wrote angels from the realms of glory? Answer:,Scottish poet James Montgomery,"James Montgomery. 
Who wrote",1
2184,Answer the question concisely with only the answer: where does king math have to keep his feet? Answer:,In the lap of a virgin,on the ground. (Note,1
2185,Answer the question concisely with only the answer: who sings be prepared in the lion king? Answer:,"Jeremy Irons, Church Marin, Jim Cummings, Whoop Goldberg, John Victory, Kevin Cahoot, Stanley Wayne Mathis, Tracy Nicole Chapman","Elton John. 
The",1
2186,Answer the question concisely with only the answer: when was pirates of the caribbean 4 made? Answer:,106 days between June and November 2010,2007. Answer the,0
2187,Answer the question concisely with only the answer: who is the actor that plays robbie rotten? Answer:,Stefan Karl Stephenson,Ricky Tomlinson. Answer,0
2188,Answer the question concisely with only the answer: who is being welcomed in the new colossus? Answer:,The Statue of Liberty,the huddled masses yearning,1
2189,Answer the question concisely with only the answer: what is the route number of the pacific coast highway? Answer:,State Route (SR),1. What is the,0
2190,Answer the question concisely with only the answer: what is ed sheerans song nancy mulligan about? Answer:,"The story of how his grandparents, William Sheer an, A Protestant from Belfast, Northern Ireland and Nancy Mulligan, A Catholic from Republic of Ireland, met, Fell in love during the Second World War and got married at the Oxford border",It is a song about Ed,1
2191,Answer the question concisely with only the answer: when is the next series of celebs go dating? Answer:,February 2018,The next series of Celebs,0
2192,Answer the question concisely with only the answer: when was the last time the cincinnati reds had a winning season? Answer:,1990,2012-2013,0
2193,Answer the question concisely with only the answer: failure of the testes to descend into the scrotum at birth? Answer:,Cryptorchidism,Cryptorchidism. Next,1
2194,Answer the question concisely with only the answer: who played carol in the first episode of friends? Answer:,Barony,Annette Helde.,0
2195,Answer the question concisely with only the answer: where is mammoth mountain located on a map? Answer:,"West of the town of Mammoth Lakes, California",Mammoth Mountain is located in,1
2196,Answer the question concisely with only the answer: when is the last time the smashing pumpkins toured? Answer:,2016,"2021. 
The",0
2197,Answer the question concisely with only the answer: who was the inventer of the spinning jenny? Answer:,James Hargreaves,James Hargreaves.,1
2198,Answer the question concisely with only the answer: what is the botanical name of siam weed? Answer:,Chromolaena data,Chromolaena odorata.,1
2199,Answer the question concisely with only the answer: which larger record company leased records from stax records? Answer:,Atlantic,Atlantic Records. Answer the question,1
2200,Answer the question concisely with only the answer: religious universities in the islamic world are called? Answer:,Madrasa,"madrasas. 
Mad",1
2201,Answer the question concisely with only the answer: where is the redwood national park located in california? Answer:,Del Norte and Humboldt Counties,"Northern California.

The final answer",0
2202,Answer the question concisely with only the answer: where does the san fermin festival take place? Answer:,"Pamplona, Navarre, Spain","Pamplona, Spain.",1
2203,Answer the question concisely with only the answer: what is the nationwide health promotion and disease prevention plan? Answer:,Healthy People,Healthy People 2020.,1
2204,Answer the question concisely with only the answer: the members of american cabinet are appointed after the approval of? Answer:,Senate,the senate.. 2,1
2205,Answer the question concisely with only the answer: when does the big 12 men's tournament start? Answer:,March to 10,The Big 12 Men's,0
2206,Answer the question concisely with only the answer: who won the icc t20 world cup 2016? Answer:,The West Indies,"West Indies.
Answer the question",1
2207,Answer the question concisely with only the answer: where did allied troops land on d day? Answer:,Normandy,"Normandy. 
Answer the",1
2208,Answer the question concisely with only the answer: when did the battle of fort sumter happen? Answer:,"April 12 -- 13, 1861","April 12, 186",1
2209,Answer the question concisely with only the answer: when was the ark of the covenant lost? Answer:,587 BC,"586 BC.
The Ark",1
2210,Answer the question concisely with only the answer: where does it say an eye for an eye? Answer:,"The Code of Hammurabi, The Hebrew Bible",Deuteronomy 19:,0
2211,Answer the question concisely with only the answer: when is the story of my antonia set? Answer:,Towards the end of the 19th century,The late 19th century,1
2212,Answer the question concisely with only the answer: what is the mean of rx in medical? Answer:,prescription,"Average blood pressure reading.
What",0
2213,Answer the question concisely with only the answer: when was the last time the pro bowl was played in hawaii? Answer:,2016,"2021.
What is",0
2214,Answer the question concisely with only the answer: when do you get your white coat in medical school? Answer:,Before the first year begins,In the first or second year,1
2215,Answer the question concisely with only the answer: what was the intent of the immigration act of 1965? Answer:,"Maintained the per - country limits, But also created preference visa categories that focused on immigrants' skills and family relationships with citizens or U.S. residents",To abolish the national origins quota,1
2216,Answer the question concisely with only the answer: what is the significance of the seven rooms in the palace? Answer:,Each dedicated to one of the then known planets and their associated titular Roman deity,The seven rooms symbolize the,1
2217,Answer the question concisely with only the answer: creative and performing arts high school camden nj? Answer:,Creative Arts Morgan Village Academy (CA MVA),Camden County Technical School at Camden,0
2218,Answer the question concisely with only the answer: how many seasons are there of happy days? Answer:,eleven,"11. 
The Happy",0
2219,Answer the question concisely with only the answer: how many african american soldiers served in ww2? Answer:,"125,000","approximately 1 million.
How",0
2220,Answer the question concisely with only the answer: where is the under 17 world cup final being played? Answer:,India,"India.
Answer the question conc",1
2221,Answer the question concisely with only the answer: when did baby driver come out in theaters? Answer:,"June 28, 2017","August 11, 201",0
2222,Answer the question concisely with only the answer: who plays chaka from land of the lost? Answer:,Norma Vaccine,William Fichtner.,0
2223,Answer the question concisely with only the answer: who played guitar on bat out of hell? Answer:,Todd Lindgren,Nils Lofgren.,0
2224,Answer the question concisely with only the answer: who played el guapo in the three amigos? Answer:,Alfonso Arab Incháustegui,Steve Buscemi.,0
2225,Answer the question concisely with only the answer: how many medals has canada won in the 2018 olympics? Answer:,29,"29
Answer the question",1
2226,Answer the question concisely with only the answer: who posted the ninety-five theses on a church door effectively creating protestantism? Answer:,Luther,"Martin Luther.
Who posted the",1
2227,Answer the question concisely with only the answer: when does the nun come out in theaters? Answer:,"September, 2018",November 2018.,1
2228,Answer the question concisely with only the answer: who was the maid on the brady bunch? Answer:,Ann Bradford Davis,"Alice the maid. 
Answer",0
2229,Answer the question concisely with only the answer: what was finland's currency before the euro? Answer:,The Finnish markka,"Markka. 
Answer the",1
2230,Answer the question concisely with only the answer: where do the ilium the ischium and the pubis meet? Answer:,acetabulum,At the acetabulum.,1
2231,Answer the question concisely with only the answer: what is the type of government in fiji? Answer:,Parliamentary representative democratic republic,"Constitutional parliamentary democracy.
What type",1
2232,Answer the question concisely with only the answer: just before texas became a us state in 1845 texas was? Answer:,Annexed to the United States of America,"an independent republic.
Answer the",1
2233,Answer the question concisely with only the answer: where does the thoracic duct drain lymph from? Answer:,"The systemic (blood) circulation at the angle of the left subclavian and internal jugular veins as a single trunk, At the commencement of the brachiocephalic vein",The cisterna chyli,1
2234,Answer the question concisely with only the answer: who appoints the chief justice of supreme court of india? Answer:,The outgoing CGI,"President of India
Answer the",1
2235,Answer the question concisely with only the answer: what's the largest jail in the united states? Answer:,Cook County Jail,The Orleans Parish Prison in,0
2236,Answer the question concisely with only the answer: how are saturn's moon titan and neptune's triton similar? Answer:,Geologically active,Both have geysers and,0
2237,Answer the question concisely with only the answer: when is game of thrones next book coming out? Answer:,2018 or later,There is no official release date,0
2238,Answer the question concisely with only the answer: what book of the bible is the ten commandments in? Answer:,"Exodus, Deuteronomy","Exodus.
Answer the question conc",1
2239,Answer the question concisely with only the answer: what is the tagline of swachh bharat abhiyan? Answer:,One step towards cleanliness,"""Desh ki Swach",0
2240,Answer the question concisely with only the answer: a picture of three lions is seen in the national emblem of india what is written underneath it? Answer:,Truth Alone Triumphs,Satyamev Jayate,0
2241,Answer the question concisely with only the answer: who controlled the majority of the decision making in the roman republic? Answer:,Assemblies,The patrician class.,0
2242,Answer the question concisely with only the answer: rosa from orange is the new black actress? Answer:,Barbara Rosenberg,Taylor Schilling. Answer the,0
2243,Answer the question concisely with only the answer: when did the song rockin robin come out? Answer:,1958,"1958. 
The",1
2244,Answer the question concisely with only the answer: who plays the voice of the little mermaid? Answer:,Jodi Marie Marjoram Benson,"Jodi Benson. 
What",1
2245,Answer the question concisely with only the answer: what identifies the number of protons in the nucleus of an atom? Answer:,The atomic number or proton number (symbol Z),Atomic number. Answer the question,1
2246,Answer the question concisely with only the answer: who played cindy brady in a very brady christmas? Answer:,Jennifer Runyon,Hallee Hirsh.,0
2247,Answer the question concisely with only the answer: what is the height of mount olympus in greece? Answer:,", 918 meters (,573 ft)","2,917 meters (",1
2248,Answer the question concisely with only the answer: who won the men's single final at wimbledon? Answer:,Novak Djokovic,Novak Djokovic.,1
2249,Answer the question concisely with only the answer: who invented the first curling iron in 1872? Answer:,Marcel Gateau,1.2 million people,0
2250,Answer the question concisely with only the answer: when did islam split between sunni and shiite? Answer:,632AD,632 CE. Answer the,0
2251,Answer the question concisely with only the answer: dean’s blue hole is one of deepest? Answer:,Salt water blue hole,blue holes in the world.,1
2252,Answer the question concisely with only the answer: when does lay a way start at walmart? Answer:,Late summer,"5am. 
When",0
2253,Answer the question concisely with only the answer: when did the first digital camera come out? Answer:,1975,"1975.
The first",1
2254,Answer the question concisely with only the answer: why were 11 miles of the cuckoo trail sold in 1986? Answer:,To reduce expenditure,To raise funds for the construction,1
2255,Answer the question concisely with only the answer: when was beauty and the beast cartoon made? Answer:,1991,1991. (This,1
2256,Answer the question concisely with only the answer: who had the biggest influence on cuban music culture? Answer:,West African and European (especially Spanish),"Beny Moré
Answer",0
2257,Answer the question concisely with only the answer: who sang stay first black stone cherry or florida georgia line? Answer:,Black Stone Cherry,Florida Georgia Line. who sang,0
2258,Answer the question concisely with only the answer: who wore red uniforms in the civil war? Answer:,The British Army,"The Union Army. 
The",1
2259,Answer the question concisely with only the answer: when did weed become legal for recreational use in washington? Answer:,"December, 2012","October 10, 201",0
2260,Answer the question concisely with only the answer: what is the largest fish in lake erie? Answer:,sturgeon,"Lake sturgeon.
Answer the",1
2261,Answer the question concisely with only the answer: normal breaths per minute for 10 year old? Answer:,17 -- 23,12-20. Answer,0
2262,Answer the question concisely with only the answer: what is the age limit for ias exam in india? Answer:,Not have attained the age of 32 years,21-30 years.,1
2263,Answer the question concisely with only the answer: where is the 2022 world cup going to be played? Answer:,Qatar,"Qatar.
Answer the question conc",1
2264,Answer the question concisely with only the answer: when did the forbidden city became a museum? Answer:,1925,"1925.
Answer the",1
2265,Answer the question concisely with only the answer: when do the dallas cowboys and the houston texans play? Answer:,The Cowboys and Texans have been scheduled to play each other in the preseason whenever they are not scheduled to meet in the regular season,The Dallas Cowboys and the Houston,1
2266,Answer the question concisely with only the answer: who sings learn to love again with pink? Answer:,Nate Guess,"Celine Dion. 
Answer",0
2267,Answer the question concisely with only the answer: desire under the elms is inspired by the myth of? Answer:,"Phaedra, Hippolytus, Theseus",Medea. The question is,0
2268,Answer the question concisely with only the answer: why is there a 2 term limit for presidents? Answer:,Accumulating too much power,To prevent abuse of power and,1
2269,Answer the question concisely with only the answer: how many perfect games have been pitched in major league baseball history? Answer:,23,23. (This is,1
2270,Answer the question concisely with only the answer: who was the taj mahal built in honour of? Answer:,Wife of Shah Japan,Mumtaz Mahal.,0
2271,Answer the question concisely with only the answer: who played quasimodo in the hunchback of notre dame? Answer:,Charles Laugh ton,Charles Laughton. who,1
2272,Answer the question concisely with only the answer: who said truth justice and the american way? Answer:,The comic - book character Superman,"Superman. 
This is a",1
2273,Answer the question concisely with only the answer: who plays mad max in mad max fury road? Answer:,Tom Hardy,"Tom Hardy.
Answer the question",1
2274,Answer the question concisely with only the answer: who plays the rich kid in little rascals? Answer:,Blake Cover Ewing,"Devon Sawa. 
The",0
2275,Answer the question concisely with only the answer: when will the movie justice league be released? Answer:,"November 17, 2017","November 17, 201",1
2276,Answer the question concisely with only the answer: film location of mama mia here we go again? Answer:,"Croatia, Including the island of Vi's, Shepparton Studios in Surrey, England","Crete, Greece.",0
2277,Answer the question concisely with only the answer: who was tara dating on the walking dead? Answer:,Denise Cloud,"Noah.?
Answer the question",0
2278,Answer the question concisely with only the answer: who wrote the songs for three dog night? Answer:,"Paul Williams (`` An Old Fashioned Love Song ''), Host Anton (`` Joy to the World ''), Laura Nero (`` Eli's Coming' ''), Harry Wilson (`` One ''), Randy Newman (`` Mama Told Me Not to Come ''), Leo Layer (`` The Show Must Go On '')",Paul Williams and Richard Carroll.,1
2279,Answer the question concisely with only the answer: when did the walking dead comic books come out? Answer:,2003,2003. Next question,1
2280,Answer the question concisely with only the answer: when does the sun turn into a red giant? Answer:,In about to a billion years,In about 5 billion years,1
2281,Answer the question concisely with only the answer: where does need for speed payback take place? Answer:,Fortune Valley,"Palm City, Portia,",0
2282,Answer the question concisely with only the answer: where will world cup be held in 2022? Answer:,Qatar,"Qatar. 
What is the",1
2283,Answer the question concisely with only the answer: who sang you're a mean one mr grinch in the 2000 movie? Answer:,Jim Carrey,Jim Carrey. Jim Car,1
2284,Answer the question concisely with only the answer: when does the rest of season 7 of suits start? Answer:,"March 28, 2018",The rest of season 7,0
2285,Answer the question concisely with only the answer: who decides who gets the congressional medal of honor? Answer:,The President of the United States in the name of the U.S. Congress,The President of the United States,1
2286,Answer the question concisely with only the answer: when was the samsung galaxy note 5 released? Answer:,"August 21, 2015","August 21, 201",1
2287,Answer the question concisely with only the answer: who sings dream weaver on leon's commercial? Answer:,Kevin Quiet,"Gary Wright. 

Answer the",0
2288,Answer the question concisely with only the answer: how far is missouri city tx from houston tx? Answer:,17 miles,"20 miles.
The final",1
2289,Answer the question concisely with only the answer: what is the function of home key in computer? Answer:,Primarily used to return the cursor to the beginning of the line where the cursor is located,It allows you to return to,1
2290,Answer the question concisely with only the answer: who is the person that drives the train? Answer:,engineer,"The engineer.
What is the",1
2291,Answer the question concisely with only the answer: what does said the spider to the fly mean? Answer:,To indicate a false offer of help or friendship that is in fact a trap,It means being lured into,1
2292,Answer the question concisely with only the answer: who raised the indian ambulance corp during the boer war? Answer:,"Mahatma Gandhi, Local Indian community","Lord Roberts.
Answer the question",0
2293,Answer the question concisely with only the answer: when did the new star wars movies come out? Answer:,2015,"December 2015, May",1
2294,Answer the question concisely with only the answer: who sings the song back in the day when i was young? Answer:,Ahmad,Anita Baker. who sings the,0
2295,Answer the question concisely with only the answer: what's the name of the broncos stadium? Answer:,"Sports Authority Field at Mile High, Previously known as UNESCO Field at Mile High, And commonly known as Mile High, New Mile High or Mile High Stadium",Empower Field at Mile High,1
2296,Answer the question concisely with only the answer: what year did they put the strip in the 100 dollar bill? Answer:,1990,1928. Next question,0
2297,Answer the question concisely with only the answer: how big is the screen on a samsung galaxy s5? Answer:,a. - inch (130 mm) 1080p Super AMOLED panel,5.1 inches.,1
2298,Answer the question concisely with only the answer: who was the little girl in the grinch that stole christmas? Answer:,Taylor Michel Mom sen,"Cindy Lou Who. 
Who",0
2299,Answer the question concisely with only the answer: where did the 2006 world cup take place? Answer:,In Germany,"Germany.

## Step 1",1
2300,Answer the question concisely with only the answer: what was the original name of the cincinnati reds? Answer:,Cincinnati Red Stockings,The Cincinnati Red Stockings.,1
2301,Answer the question concisely with only the answer: where do salmon spend most of their lives? Answer:,In the saltwater in oceans,"in freshwater. 
The question",1
2302,Answer the question concisely with only the answer: what is the state of matter of sulfuric acid? Answer:,"Colorless odorless syrupy liquid that is soluble in water, In a reaction that is highly exothermic",Liquid. Answer the question conc,1
2303,Answer the question concisely with only the answer: which type of information system manages a document through all the stages of its processing? Answer:,Business process,Document management system. (Note,0
2304,Answer the question concisely with only the answer: what did oates do in hall and oates? Answer:,Plays electric guitar and provides backing vocals,He sang and played guitar.,1
2305,Answer the question concisely with only the answer: total number of goals in the world cup 2018? Answer:,169,"169. 
Answer the",1
2306,Answer the question concisely with only the answer: conquistador who defeated the incan empire in peru? Answer:,Francisco Pizarro,Francisco Pizarro. The,1
2307,Answer the question concisely with only the answer: who paid for the building of wembley stadium? Answer:,"Sport England, WNS (Wembley National Stadium Limited), The Football Association, The Department for Culture Media and Sport, The London Development Agency",The Shah of Iran paid for,1
2308,Answer the question concisely with only the answer: where are strongest winds found in a hurricane? Answer:,In the eyeball and the right front quadrant,"In the eye wall.
Answer",1
2309,Answer the question concisely with only the answer: how many u.s. senators are there and how long is a senator's term? Answer:,"100 U.S. Senators, Terms of six years",There are 100 U.S,1
2310,Answer the question concisely with only the answer: the cat in the hat boy and girl? Answer:,"Dakota Fanning, 1971 TV special",Sally and Thing 1 and,0
2311,Answer the question concisely with only the answer: age to run for us house of representatives? Answer:,25,25. (Note:,1
2312,Answer the question concisely with only the answer: where did the fulton fish market move to? Answer:,In Hunts Point in the Bronx,The Bronx. Note: This,1
2313,Answer the question concisely with only the answer: what is the phantom of the opera based on? Answer:,Partly inspired by historical events at the Paris Opera during the nineteenth century and an apocryphal tale concerning the use of a former ballet pupil's skeleton in Carl Maria von Weber's 1841 production of Her Freischütz,"The novel ""Le Fantôme",1
2314,Answer the question concisely with only the answer: who holds the most points in a nba game? Answer:,Wilt Chamberlain,Wilt Chamberlain.,1
2315,Answer the question concisely with only the answer: where was the first olympic hockey game held? Answer:,"Antwerp, Belgium","London, England.
What is",0
2316,Answer the question concisely with only the answer: what part of the beef is skirt steak? Answer:,plate,Diaphragm. What part,0
2317,Answer the question concisely with only the answer: where is the blarney stone located in the castle? Answer:,"The battlements of Blarney Castle, Blarney",In the Blarney Castle,1
2318,Answer the question concisely with only the answer: when did journey get a new lead singer? Answer:,1977,"2016. 
When",0
2319,Answer the question concisely with only the answer: who sang i want to make it with you? Answer:,The pop - rock group Bread,"The Isley Brothers.
Answer",1
2320,Answer the question concisely with only the answer: who plays nicky's father on animal kingdom? Answer:,C. Thomas Howell,"Scott Speedman. 
Who",0
2321,Answer the question concisely with only the answer: glycolysis occurs in the part of the cell called the? Answer:,cytosol,"cytosol. Next,",1
2322,Answer the question concisely with only the answer: who has the most thrown interceptions in nfl history? Answer:,Brett Favre,"Brett Favre. 
Answer",1
2323,Answer the question concisely with only the answer: what state are the aleutian islands part of? Answer:,Alaska,"Alaska.

## Step 1",1
2324,Answer the question concisely with only the answer: when does the season of criminal minds start? Answer:,"September 27, 2017 in a new time slot at 10 : 00PM on Wednesday",The season of criminal minds starts,1
2325,Answer the question concisely with only the answer: when did the smoky mountains become a national park? Answer:,1940,1940. The Great,1
2326,Answer the question concisely with only the answer: who sings meant to be with bebe rexha? Answer:,American country music duo Florida Georgia Line,Bebe Rexha.,0
2327,Answer the question concisely with only the answer: who plays ricky on the secret life of an american teenager? Answer:,Daren Maxwell Karloff,Daren Kagasoff.,1
2328,Answer the question concisely with only the answer: who was the first to notice that distant galaxies were red shifted with respect to closer stars? Answer:,Christian Doppler,"Slipher.

## Step",0
2329,Answer the question concisely with only the answer: his character on home improvement is tim the toolman taylor? Answer:,Tim Allen,Yes. Answer the question conc,0
2330,Answer the question concisely with only the answer: when did magic the gathering first come out? Answer:,1993,"1993. 
Magic",1
2331,Answer the question concisely with only the answer: where is the arabian desert located on the map? Answer:,From Yemen to the Persian Gulf and Oman to Jordan and Iraq,The Arabian Desert is located in,1
2332,Answer the question concisely with only the answer: how many countries qualify from each continent for the world cup? Answer:,32,3.5. (,0
2333,Answer the question concisely with only the answer: where did they get the idea for stranger things? Answer:,"Started with how the brothers felt they could take the concept of the 2013 film Prisoners, Detailing the moral struggles a father goes through when his daughter is kidnapped, And expand it out over eight or so hours in a serialized television approach",The Duffer Brothers were inspired,1
2334,Answer the question concisely with only the answer: when does the tv show 911 come out? Answer:,"January, 2018","May 2023.
The",0
2335,Answer the question concisely with only the answer: when was the rh bill passed into law? Answer:,"December 21, 2012","September 17, 199",0
2336,Answer the question concisely with only the answer: how did tahini die in the good place? Answer:,"A statue of her sister fell on her at the Rock and Roll Hall of Fame in Cleveland, Ohio","He was sent to the """,1
2337,Answer the question concisely with only the answer: when did puerto rico become part of the usa? Answer:,Treaty of Paris,"1898.
Answer the",0
2338,Answer the question concisely with only the answer: who plays the twins on a series of unfortunate events? Answer:,Jacqueline and Joyce Robbins,Neil Patrick Harris and Patrick Page,1
2339,Answer the question concisely with only the answer: when did dark shadows start airing in color? Answer:,"August 11, 1967",1966. when did,0
2340,Answer the question concisely with only the answer: when did mariah careys all i want for christmas come out? Answer:,"November, 1994","1994. 
When",1
2341,Answer the question concisely with only the answer: when did the mob lose control of las vegas? Answer:,1966,"1966.
The Mob",1
2342,Answer the question concisely with only the answer: who is the founder of clash of clan game? Answer:,Finnish game developer Supercell,"Supercell. 

##",1
2343,Answer the question concisely with only the answer: when was the old tappan zee bridge built? Answer:,"Construction started in March 1952 and the bridge opened to traffic on December 15, 1955","1955. 
When",1
2344,Answer the question concisely with only the answer: when does lucas and peyton leave one tree hill? Answer:,"Season six, finale","Season 9. 
The",1
2345,Answer the question concisely with only the answer: what is the meaning of the name ottilie? Answer:,"`` prosperous in battle '', `` riches '', `` prosperous '' or `` wealth ''",The name Ottilie is,0
2346,Answer the question concisely with only the answer: who said i shall never surrender or retreat? Answer:,William Barrel Travis,"Winston Churchill. 
The quote",0
2347,Answer the question concisely with only the answer: who invented the game five nights at freddy's? Answer:,Scott Cartoon,Scott Cawthon.,1
2348,Answer the question concisely with only the answer: who played the original creature from the black lagoon? Answer:,"Ben Chapman on land, Rico Browning underwater","Antonio Moreno. 
Answer the",1
2349,Answer the question concisely with only the answer: when is season 2 of tokyo ghoul coming out? Answer:,"January, 2015, To March 26, 2015",There is no official release date,0
2350,Answer the question concisely with only the answer: who is the singer of bengali film sathi? Answer:,Bijou (Meet),"Ujjaini.
Answer",0
2351,Answer the question concisely with only the answer: where did the chicago bulls play before the united center? Answer:,Chicago Stadium,"The Chicago Stadium.
The Chicago",1
2352,Answer the question concisely with only the answer: who is the creator of dungeons and dragons? Answer:,"Ernest Gary Gaga, Dave Arson",Gary Gygax.,1
2353,Answer the question concisely with only the answer: in the periodic table the elements that are adjacent to the stair step are called? Answer:,metalloid,"Transition metals. 

## Step",0
2354,Answer the question concisely with only the answer: when does harry potter find out he's a wizard? Answer:,On his eleventh birthday,At the age of 11,0
2355,Answer the question concisely with only the answer: which type of software has no restrictions from the copyright holder and can be modified? Answer:,`` free '' or `` open - source. '',Open-source software. Answer the,1
2356,Answer the question concisely with only the answer: who played seth on little house on the prairie? Answer:,Seth (played by Willie Games),"Kyle Richards. 
Who played",0
2357,Answer the question concisely with only the answer: mention conditions under which ohm's law is applicable? Answer:,Current through a conductor between two points is directly proportional to the voltage across the two points,Ohm’s law is applicable,1
2358,Answer the question concisely with only the answer: how many fouls you get in the nba? Answer:,"Five personal fouls over the course of a 40 - minute game, Six in a 48 - minute game",6. What are some,1
2359,Answer the question concisely with only the answer: what are the 2 types of visual arts? Answer:,"Fine art, Decorative arts and crafts",Fine Arts and Applied Arts.,1
2360,Answer the question concisely with only the answer: who is the host of season 4 spring baking championship? Answer:,Ali Khan,"2022, Ina",0
2361,Answer the question concisely with only the answer: maximum steam pressure in locomotive boiler in bar? Answer:,", 700 psi (11.72 MPA)","15 bar.
Answer the",0
2362,Answer the question concisely with only the answer: who sings the country song light it up? Answer:,Luke Bryan,"Luke Combs. 
Who",1
2363,Answer the question concisely with only the answer: what is the rate of corporation tax uk? Answer:,A flat rate of 20 %,"19%.
What is the",1
2364,Answer the question concisely with only the answer: who won the battle of hastings in 1066? Answer:,Norman,William the Conqueror.,0
2365,Answer the question concisely with only the answer: who is the actor that played in split? Answer:,James McEvoy,James McAvoy.,1
2366,Answer the question concisely with only the answer: when did the kraft heinz merger take place? Answer:,2015,"2015.
The Kraft",1
2367,Answer the question concisely with only the answer: name the three compositional style periods of stravinksy? Answer:,"Russian period, Neoclassical period, Serial period",The three compositional style periods,1
2368,Answer the question concisely with only the answer: what is the book the adventures of tom sawyer about? Answer:,A young boy growing up along the Mississippi River,The book is about a young,1
2369,Answer the question concisely with only the answer: why did the united states approach the ussr with a policy of containment? Answer:,To prevent the spread of communism,the united states approached the us,1
2370,Answer the question concisely with only the answer: when was the first god of war made? Answer:,2005,There is no clear answer as,0
2371,Answer the question concisely with only the answer: when was the last time lake powell was full? Answer:,"July 14, 1983","1963.
When was",0
2372,Answer the question concisely with only the answer: what was the name of the frankish king who formed the holy roman empire? Answer:,Charlemagne,"Charlemagne.
What was",1
2373,Answer the question concisely with only the answer: when is season 14 of keeping up with the kardashians coming out? Answer:,"October, 2017",Season 14 of Keeping Up,0
2374,Answer the question concisely with only the answer: who did hector kill in better call saul? Answer:,The good Samaritan,He killed the two Mexican cartel,1
2375,Answer the question concisely with only the answer: whats the song in the look at me video? Answer:,`` Changes '' by British dubstep DJ and record producer Male,"The song in the ""Look",0
2376,Answer the question concisely with only the answer: who appoints judges of supreme court and high court? Answer:,The president,"President of India. 
Answer",1
2377,Answer the question concisely with only the answer: if the line-item veto were constitutional how would it affect the balance of power explain? Answer:,"In United States government, The line - item veto, Or partial veto, Is the power of an executive authority to nullify or cancel specific provisions of a bill, Usually a budget appropriations bill, Without vetoing the entire legislative package. The line - item vetoes are usually subject to the possibility of legislative override as are traditional vetoes.",The line-item veto would give,1
2378,Answer the question concisely with only the answer: who plays wilma's mother in the flintstones? Answer:,Pearl Slaghoople,"Bea Benaderet.
Who",0
2379,Answer the question concisely with only the answer: who sings the original jingle bell rock song? Answer:,Bobby Helms,Bobby Helms. Thank you,1
2380,Answer the question concisely with only the answer: what tv show did rainman have to watch? Answer:,Judge Warner,"""The Price is Right""",0
2381,Answer the question concisely with only the answer: who established game management as a profession in the united states? Answer:,"Aldo Leopold and others who sought to transcend the purely restrictive policies of the previous generation of conservationists, Such as anti-hunting activist William T. Workaday",George Bird Grinnell.,0
2382,Answer the question concisely with only the answer: who plays bonnie's grandma on vampire diaries? Answer:,Guy,Loretta Devine.,0
2383,Answer the question concisely with only the answer: who sang you can always find me in the kitchen at parties? Answer:,Joan Lewis,"The song is ""You Can",0
2384,Answer the question concisely with only the answer: where is there's something about mary filmed? Answer:,"Miami, Florida","Los Angeles, California.",0
2385,Answer the question concisely with only the answer: which type of chromosome does the female parent give to its offspring? Answer:,X chromosomes,"X
Answer the question conc",1
2386,Answer the question concisely with only the answer: what are the neighboring countries of south korea? Answer:,North Korea,"North Korea, China, Japan",1
2387,Answer the question concisely with only the answer: how much time do boxers get between rounds? Answer:,minute,3 minutes. Answer the,1
2388,Answer the question concisely with only the answer: who used to play hope on bold and the beautiful? Answer:,Kimberly Marie `` Kim '' Manual,"Kim Matula. 
Who",1
2389,Answer the question concisely with only the answer: which is the largest tiger reserve in india? Answer:,Nagarjunsagar - Srisailam Tiger Reserve,Sundarbans Tiger Reserve.,1
2390,Answer the question concisely with only the answer: what is the most common symptom of schizophrenia? Answer:,Deficits in cognitive abilities,"Hallucinations.
What is",1
