short_answers,responses,matches
Over 375,"200. 
There are",0
Samuel Brennan,a forty-niner. Answer,0
The house of peace,The city name Dar es Sala,0
Sarah Bright man,Yvonne Printemps,0
The Great Desert,The other name of Sahara desert,0
"Northern peninsula of present - day Newfoundland, Near L'Anne aux Meadows",The Vikings landed in present-day,0
Intel,Ted Hoff. 1971,0
The percent by which the quantity demanded will change relative to (divided by) a given percentage change in the price,the price of the item.,0
George's Plain,The plain in Westmoreland,0
By the TH century,"Around 400 AD.
Answer",0
Individuals appointed by the members,The Board of Directors.,0
Illicit drug offenses,Assault. Source: Australian Bureau,0
John C. McGinley,Ice Cube. who plays bern,0
Barbra Streisand,Barbra Streisand.,1
11. - 14. %.,11.3-14,0
"Political freedom, Civil liberties, Human rights","Freedom of speech, assembly,",0
In the 1660s,"Montpellier, France.",0
A commentary on how mass media reduces interest in reading literature,The author's purpose in Fahrenheit,0
English singer and songwriter Harry Styles,"Harry Styles. 
Harry Styles",0
"Arlington Ridge Park, Near the ORD - Wentzel Gate to Arlington National Cemetery and the Netherlands Carillon","Iwo Jima, Japan",0
Isabella Gómez,"Isabella Gomez. 

The",0
159 liters,"159 liters.
Answer the",1
"Acrobatic and dance group Zurcaroh, Singer Michael Letterer, Singer Courtney Had win, Singer Amanda MENA, Singer Makayla Phillips","Angelica Hale.
Who received",0
"Vancouver, British Columbia and surrounding areas","Various locations in British Columbia,",0
Series creator Mike Judge,Patton Oswalt.,0
.00 a.m. -- .00 a.m.,10am. What is,0
Colonial military supplies,British were looking for the American,0
"An 1847 edition of The Knickerbocker, A New York City monthly magazine",The joke's origins are unclear,0
The Members,"The Smiths.
Answer the",0
"September, 2018",March 15th.,0
The United States courts of appeals or circuit courts,"Courts of Appeals.
The Court",0
"Nat King Cole, The Every Brothers, Gracie Fields, Evelyn Late","Dean Martin. 
The lyrics",0
In the epiphyses,"Diaphysis.
Answer the",0
two,"2. 
The Carrie",0
POST,"POST.
Which HTTP method is",1
"Rainforests and coconut plantations in New Guinea, rainforests, Wet or dry chlorophyll forest and acacia scrub in Australia",Australia and New Guinea.,0
Web browser,Browser. Read the text below,0
In Dallas at historic Fair Park,"Fair Park in Dallas, Texas",0
2000,2000. Click the,1
Madrid,"Bayern Munich. 
What is",0
Apr-52,"1973.
When I",0
The Agreement on Trade - Related Aspects of Intellectual Property Rights,trips agreement. Question,0
Florida,"North Carolina. 
Answer the",0
Tall rescue (Fistula arundinacea),"Kentucky bluegrass. 

Note",0
James Oliver Cromwell,Rob Reiner. Who played,0
Alan Wilson,Janis Joplin.,0
A computer networking utility for reading from and writing to network connections using TCP or UDP,The nc command in Linux is,0
24-Oct-08,"2020. 
Note",0
"Lee Enrich, Adrian Molina",Lee Unkrich.,0
Sympathetic nervous system,Endocrine system. What organ,0
"love, `` the highest form of love, Charity '' and `` the love of God for man and of man for God ''",Selfless and unconditional love that,0
"Ibiza Airport (IATA : IBM, ICAO : LEIF) (Catalan : Airport d'Elissa, Spanish : Aeropuerto de Ibiza)",Ibiza Airport (IBZ,0
Apr-42,1942. The attack,0
"On May, 2018","2018. 
The",0
Hagar,"Hagar.
Answer the question",1
Goliath v. State of Punjab,Keshvananda Bharti,0
"April, 1992","1994. 
The",0
"The radiant energy Earth receives from the sun, The geothermal energy contained within the earth","the sun.

## Step",0
Harry S. Truman,"Harry Truman. 
What was",0
Anne Ramsey,"Anne Bancroft.
Who",0
American poet Emma Lazarus,"Emma Lazarus. 
Emma",0
Kampala Charley,Kalpana Chawla,0
21,21 years old.,1
Address issues related to the employment and welfare of working minors and children,The Fair Labor Standards Act (,0
Jane Darrell,"Ellen McLain. 
Answer",0
Linus Torvalds,Linus Torvalds.,1
"To indicate modality -- that is : likelihood, ability, Permission and obligation","They express modality, indicating",0
Huey' Piano' Smith,"Huey ""Piano""",0
Thomas Young and Hermann von Helmholtz,Hermann von Helmholt,1
Pakistan,"Pakistan. 
Note: This",1
Around 1440,"1450.
Answer the",0
"Saturday, September 13, 1969","September 13, 196",1
27-Sep-17,March 7th.,0
15-Aug-71,"1971.
Answer the",0
"mitochondria, Endoplasmic reticulum",in the endoplasmic,0
Donna Romney McDaniel,Ronna Romney McDaniel.,0
"Informs the public about goings-on in institutions and society, Especially in circumstances where a significant portion of the public would demand changes in response",maintain accountability of public officials.,0
"Autobots, Deceptions",Step-down and Step-up.,0
diazotrophs,Nitrogen fixing bacteria. Step,0
"February, 2011","2010.
The Green",0
primates,"Primate. 
Answer the",0
Sync,"Ford Sync 4.
Ford",1
Gregorian,Julius Caesar. who invented the,0
Robbie Robertson,"Johnny Cash.
The song """,0
1980,"1985. 
When",0
"Replace cherries on tree : two if the player has at least that many in his / her basket, One if he / she has only one (no effect if player's basket is empty)",It is a reference to a,0
Socialist - oriented market economy,"Market economy.

Answer the question",0
A congress of priests,Ptolemy V.,0
Indian Rebellion of 1857,Indian Rebellion of 1857,1
The Actors,"Houston Astros.

Answer the question",0
"March, 2017, At 10 PM Eastern Time",It is currently on hiatus and,0
"In Bethlehem, In the West Bank","Bethlehem, Palestine. 
The",0
By the end of 1941,"1939.
The Great",0
Eve Plumb in Season and Brooke Shields in Season),Cloris Leachman.,0
Massachusetts,"Massachusetts.
Answer the question conc",1
Jacob Tremblay,Jacob Tremblay. Read,1
Gary Sandy,"Tim Conway.
Who played Andy",0
"red, white, blue","Red, White, and Blue",0
The invention of the printing press by German printer Johannes Gutenberg,"The expansion of trade, colonization",0
. 897 (535 - 596),94.2% as,0
27-Jun-52,"1965.
Answer the",0
The first two weeks of May,"9pm. 
This",0
1961,"1961.
The last",1
The North West of Western Australia straddling the Pillar and southern Kimberley regions,In North Africa and the Middle,0
Yarbrough and Peoples,"Rihanna. 
Who sang don",0
Tottenham Hotspur,"Chelsea FC Women. 
Answer",0
Brake lights,A light that signals when a,0
1997,1997. when was,1
Appalachian artists Clarence `` Tom '' Ashley and Gwen Foster,Eric Von Schmidt. The Eric,0
13,"10. 
Season",0
Oogenesis Imperfect type,SIDS. Sudden Infant,0
Paul Revere,"Paul Revere. 
Who",1
In the middle of the seventh inning,7th inning.,0
"Paul Hollywood, True Lath",Noel Fielding and Matt Lucas,0
The 1980s,1960s. Step,0
Around 1244,"1301
Answer the",0
The Fall of Fort Sumter (April 1861),The Battle of Fort Sumter,0
29-Mar-18,The baseball season starts in late,0
Anita Ward,"Britney Spears. 
Who",0
Five,"4. 
Note:",0
Samuel George Chaplin,Josh Hutcherson. I will,0
Seth Macfarlane,Seth MacFarlane.,1
Lieutenant General Charles Cornwallis,General Charles Cornwallis. who,0
Michael Morgan,Beth Maitland.,0
Core charge,"properties.
Answer the question conc",0
"Danny's father, Nick",Mike Delfino.,0
mid-2061,"2061. 
Answer",0
"Italian Engineers, Commissioned by the Assam Railways and Trading Company, To build a railway line from Disregard to Margherita (Headquarters of Assam Railways and Trading Company)",Assam Oil Company. (,0
`` Michael Scott Paper Company '',Season 4. What is,0
The Electoral College,The people of the United States,0
Monica Louise Horn,She died in the show.,0
Chris Walls,Carlo Rambaldi. Carlo,0
The Pacific coast of North America,"Big Sur, Muir Woods",0
Because the sulfur in eggs cause silver to tarnish,Because silver is a conductor of,0
26 miles,Approximately 30 miles. How,0
A reference substance,water.... Read More,0
Medicare Improvements for Patients and Providers Act of 2008 (`` MI PPA ''),Motor Insurance (Third Party Ris,0
inflation,"Inflation.
Answer the question",1
Broca's area,"Broca's area.
Answer",1
"The Great Plains, The Midwest, The Mississippi Valley, The southern United States","the great plains.
What is",0
"Near an anniversary of their graduation, e.g. every year","Typically, every 5 to",0
An instruction cycle,the control unit. what executes,0
"Implicit (automatic), Unconscious process, Explicit (controlled), Conscious process","Induction and deduction.
Answer",0
12,13. Step 1,0
Jonathan Adam Saunders `` Jay '' Baruch,"Astrid. 
Answer the",0
The cycle of moon phases,The concept of a month comes,0
"Originated with the American jazz community in the 1940s, In reference to people out of touch with musical trends",This phrase is a reference to,0
Ocean,"Sea. 
The Bay of",0
1876,1870. when did,0
A technique for arranging complexity of computer systems,A process of ignoring or suppressing,0
N.E. Alarm,M.N. Roy. The,0
Cyndi Lauper,Paul Reubens.,0
New York City's Times Square,"Times Square, New York City",0
1928,"1928.
Answer the",1
The GPS - determined locations transmitted to Google by many mobile phone users,"Traffic cameras, sensors, and",0
Mr. Toad's Wild Ride,"Space Mountain.
Space Mountain is",0
Any number of squares,"0. In chess,",0
A gradient in chemical potential of the diffusing species,Concentration gradient. What are,0
Dave Grohl,Dave Grohl. who played,1
"All five films center around a small group of people who escape impending death when one individual (the protagonist of each film) has a sudden premonition and warns them that they will all die in a terrible mass - casualty accident. After evading their foretold deaths, The survivors are killed one by one in bizarre accidents caused by an unseen force engineering complicated chains of cause and effect, Resembling Rube Goldberg machines in their complexity",The movies follow a group of,0
80 miles,"75 miles. 
How",0
13-Oct-17,"March 27, 201",0
The sixth season,"2006. 
Answer",0
The Achaeans,The Greeks won the battle of,0
1985,1985. was this,1
1984,"1984. 
Answer",1
Dance,"Charles Dance. 
Who plays",1
24-Oct-45,"1971.
When did",0
$11.18 million per taxpayer,40% for estates over,0
Sinoatrial node,The sinoatrial node (,1
AT&T Plaza at Millennium Park in the Loop community area,"Millennium Park. 
The Millennium",0
Nanette Fa bray,"Bonnie Bartlett. 
Answer",0
Quinton Aaron,Sandra Bullock and Quinton,0
"An organic compound with a structural formula (CH) COACH. MTB is a volatile, flammable, And colorless liquid that is sparingly soluble in water",A fuel oxygenate that helps,0
Oscar Benjamin `` Essie '' Selectman,"Oscar Robertson.
Answer the question",0
"March, 1867",1951. When was,0
Near the end of the first movement,In the final movement.,0
Court,The Man in the Moon dies,0
Ichabod Crane,Ichabod Crane. was,1
New information on the behavioral evolution of modern humans,The Blombos Cave contains,0
Require less activation energy,"speed up chemical reactions.
Answer",0
Can be extended to 2760 °C in inert atmosphere and to 3000 °C for brief measurements,"2500°C.
Answer",0
Nixon,"John F. Kennedy
Answer",0
Jaycee Strop,"Monique Coleman
high school",0
The placenta,"to the placenta.
Answer",1
Diana Ring,Lena Headey.,0
1918,1880. when was,0
26-Feb-16,There is no official release date,0
Heather,"Hayden Barnes. 

This response",0
"January, 2018","January 28, 201",0
Peak at ~ 120 meters per second (432 kilometers per hour),Approximately 400 miles per hour,0
"West Sands, St Andrews","Camber Sands, East Sussex",0
", 214 km (,997 mi)","3,200 km.",0
"Hiram Edson, James Springer White, Joseph Bates, And J.N. Andrews","Ellen G. White.
Who",0
Alias,"Kalidasa.
Answer the",0
ten,"10 episodes. 
The",0
two,"2.
The Atlanta Falcons",0
Inca Mule,"En Vogue. 
Answer the",0
Represent the thoughts of a serial killer,The song is about a serial,0
24,21. The periodic table,0
Alexandra Kyle,"Kelly Preston. 
Answer the",0
Anti-NMDA receptor encephalitis,"Encephalitis.
Answer",0
lawyer,Mitchell is a lawyer.,1
2015,2015. More,1
Neutralizing the acidic gastric acid,Pancreatic juice contains enzymes,0
Alex Merely,The SLS Las Vegas is,0
Brett Young,Justin Bieber. in case you,0
Justin Timberlake,"Rihanna.
Answer the question conc",0
"The Blackjacks, The Quarry men, Johnny and the Moon dogs, Beats, The Silver Beetles, The Silver Beatles","The Quarrymen.
The Quarry",0
Between sunset and dusk (last light),When the clock strikes 6,0
"Quebec, Ontario","Eastern Canada. 
The St",0
21-Apr-03,"2021. 
Note",0
Sandy Denny,joni mitchell.,0
Robert Lewis May,"Robert L. May.
Answer",0
United States,portsmouth. Portsmouth is the,0
1971,1999. This question,0
equilibrioception,"The vestibular sense.
Answer",0
Sep-87,"1987. 
He",0
17-Nov-17,"June 10, 201",0
"San Francisco, California","San Francisco, California.",1
David (Dave) Seville,"Dave Seville
Answer the",0
Anusha Chiller of India,Manushi Chhillar.,0
Tina Cole,Meredith MacRae.,0
Last Forever,"5. 
The question",0
Karl Marx,"Karl Marx. 
Who came",1
Chuck Brown & the Soul Searchers,"Nelly. 
Answer the",0
"Brace Beeper, Earle Fraser, George Season",John Dehner.,0
At the end of the second season,"Season 4. 
The",0
Lake Erie,"Lake Erie.
Answer the question",1
On the fourth Thursday in April,April 16th. Answer,0
Queensland,"New South Wales. 
Answer",0
Ephesians : 11,Ephesians 6:,0
"Erin, Wisconsin","Erin Hills, Wisconsin.
What",0
"Russia, Britain, France",The Ottoman Empire fought against the,0
Qatar,"Qatar.
Answer the question conc",1
25-Jan-18,"March 15, 201",0
Jan-99,"1999. 
The",0
By the gene corresponding to the protein,By sequencing the amino acids that,0
In 79 AD,"79 AD.
Answer the",0
Cherubim,Cecilia Bartoli.,0
The Classic period,200-900 AD.,0
Tim Duncan,67. by W.,0
"The complete removal of a strip of bark (consisting of cork cambium or `` fellowmen '', phloem, Cambium and sometimes going into the xylem) from around the entire circumference of either a branch or trunk of a woody plant",To encircle the trunk of,0
"Olivia, Marie","Jesse and Lucas. 
Answer",0
15-Dec-17,"Unfortunately, I am unable to",0
Scott Clifton Snyder,"Finnegan George. 
Answer",0
"The music was written by Artie Butler, Lyrics were written by Phyllis Military","Neil Diamond. 
Who wrote",0
21-Jul-07,"July 15, 200",0
Adam Warlock,Kang the Conqueror.,0
Section (b),"Section 4(b)
Answer",0
Elsie Fisher,"Jenny Slate. 
Who is",0
"January, 1975","January 6, 197",0
The McMahon Line,Line of Actual Control (L,0
"48° 12 ′ N 16° 22 ′ E / 48,200 ° N 16.367° E","In central Europe, near the",0
Bob Border,Norm Peterson. ( 200,0
Mike Becker,"Barry Gibb.
The J",0
Lawanda Page,"Ernestine
Answer the question",0
Duffy,"Mariah Carey. 
Who",0
Giles Matthew,"Bailee Madison. 
Answer",0
Theodosius I,"Charles V. 
Charles V",0
City Girls,Kehlani. who,0
David Mason,"David Mason.
Who played the",1
"Biscayne Bay, Florida","The Bahamas. 
I'm",0
Constantine,"Yes.
Answer the question conc",0
Miss USA,"Miss USA. 
Answer the",1
Ellie Hahn,"Daniella Alonso. 
Who",0
Valkyrie (from Old Norse Valkyrie `` chooser of the slain ''),The Valkyries. who,0
"344,400 square kilometers (133,000 sq mi)","Approximately 344,400 square",0
26-May-07,"2007. 
The",0
Jawaharlal Nehru,Jawaharlal Nehru,1
Christian Slater,"Stephen Rea. 
Answer",0
Dolly Parton,Dolly the cloned sheep was,0
27-Aug-92,"1969.
When did",0
"core, kernel, Or crux of an argument, Or a small matter that could lead to a bigger dispute",The theme of the apple of,0
Ivy is actually impersonating Charlie Rhodes,At the end of the,0
Both Billy and Stu,Billy Loomis.,0
Devin Booker of the Phoenix Suns,Jayson Tatum.,0
Nova Scotia Business Inc.,The Lagina brothers (Rick,0
Yogi Adityanath of the Bharat Jana ta Party,Yogi Adityanath,1
21-Sep-96,1996. 1,0
Oct-85,"1985. 
When",0
Neural tube defects (NTFS),"Spina bifida.
Answer",0
"New Zealand, United States Mainland, Asia","Los Angeles, New York City",0
"Between February 20, 2016 and January 21, 2017","Unfortunately, I do not have",0
1890,"1974.
Answer the",0
F,The Tri-State Tornado of,1
Jude Deforest,"Jude Demorest.
Answer the",0
Vancouver,"Los Angeles, California.",0
Patel,Sardar Vallabhb,0
. a billion,Approximately 1.9 billion,0
Plane Crazy,"Steamboat Willie.
Answer the",0
June 1784,"1791.
The United",0
Shepparton Studios,France. Thank you for your,0
Dr Pepper,"Dr Pepper. 
Answer the",1
The late 1950s,Late 20th century.,0
1964,"1964.
When was",1
New York City,"New York City. 
Answer",1
Regimental sergeant major (RSM),Regional Support Mission. What does,0
PewDiePie,"PewDiePie
Answer the",1
1964,"1956. 
Registry",0
"Can depolarize the muscle fiber, Causing a cascade that eventually results in muscle contraction",It depolarizes it.,0
"Percy Sledge, Bette Miller","Percy Sledge. 
Answer",0
New England,The house from The Family Stone,0
Billy Paul,"Billy Paul. 
Who sang",1
Andy García,"Ernie Hudson. 
Answer",0
Samuel : - : 21,In 1 Samuel 1,0
Cress Williams,Scott Porter. who plays the,0
"Belinda Carlisle, Jane Wielding",Belinda Carlisle.,0
Indian missionary Sadhu Sunday Singh,"David. However, it is",0
Charlotte Elliott,"Charlotte Elliott. 
Who wrote",1
octagon,"Octagon.
Answer the question",1
13,"13 episodes. 
The",1
Lori Petty,"Geena Davis. 
Answer",0
2007,"2011. 
When",0
"A model of the economy in which the major exchanges are represented as flows of money, Goods and services, Etc. between economic agents",The circular flow of the economy,0
"substitute, global",S stands for substitution and G,0
Bombay,BOMBAIM. Read,0
Australia,"Australia
Answer the question conc",1
Scandal,"Cher. 
Answer the question",0
Citi Field,"Citi Field.

## Step",1
Jun-16,There is no official release date,0
1975,1975. when did,1
"BBC Television Center in west London, `` Pres B ''",The old grey whistle test was,0
Jessica Ca pshaw,Justin Chambers. Is there anything,0
I love you ... neither do I,"I love you, me neither",0
Approximately 180,"71.
Answer the question",0
opium,"Beethoven. 
The answer",0
1959,"1959. 
The",1
1982,"1982. 
The",1
The union of the `` five continents '' of the world and the meeting of athletes from throughout the world at the Olympic Games,The rings represent the five continents,0
Maggie Greene,Maggie Greene. who does la,1
Those who fought and died for France in the French Revolutionary and Napoleonic Wars,Napoleon Bonaparte.,0
President pro tempore of the United States Senate,The President pro tempore of,0
The unearthly beings who directly attend to God according to Abrahamic religions,"In the Bible, cherub",0
"Examine and decide if a statute, Treaty or administrative regulation contradicts or violates the provisions of existing law, A State Constitution, Or ultimately the United States Constitution","declare laws unconstitutional.
The principle",0
Barry Bonds,Barry Bonds (2001).,1
"In the northwest part of the Weddell Sea, Extending along the east coast of the Antarctic Peninsula from Cape Longing to the area just southward of Hearst Island","Antarctica.
Answer the question conc",0
2001,"2001. 
The",1
Elena Kagan,"Elena Kagan. 
Answer",1
`` the exercise of intelligent forethought and of decisive action sufficiently far in advance of any likely crisis. '',A diplomatic approach combined with a,0
28-Jun-17,"July 5, 202",0
The Moon,The moon. What is the,1
Raymond `` Ray '' Park,Joseph Gordon-Levitt.,0
Kathryn Elisabeth Erie,Jon Polito. (Note,0
Joseph Shepard Kearns,Jay North's on-screen nem,0
Carly Simon,Carole King. (Note,0
Opioid addiction,opioid use disorder. Bup,0
Mid-20th century,"1962. 
Answer",0
16,"23 times. 
The",0
The public,"China.
The amount of U",0
Seth Macfarlane,Seth MacFarlane.,1
Nikolai Foster - Walden,Nikolaj Coster-Wald,0
Drag - and - drop,Move. What windows term describes,0
Maya,"Melissa Hastings. 
Answer the",0
Multiple alleles (different versions of a gene),individuals with different genotypes.,0
English glamour model Corinne Russell,"Jenny Wright.
The music video",0
Kristian - Joy Alfonso,Kristian Alfonso.,0
20-Feb-18,"October 30, 201",0
Billy Dee Williams,Eriq La Salle,0
Jesse L. Martin,"Chris Noth. 
Answer",0
American country music group Old Dominion,"Shawn Mendes. 
The",0
Dale Earnhardt with Richard Childless Racing,Dale Earnhardt. 199,0
20-Jan-18,"October 6, 201",0
"Lee J. Cobb as Willy Woman, Mildred Dunno ck as Linda, Arthur Kennedy as Biff, Howard Smith as Charley, Cameron Mitchell as Happy",Lee J. Cobb.,0
"citizens, residents, And temporary visitors who have suffered personal injuries","All workers, including part-time",0
Arsenal,Liverpool. 1. The,0
"The second section, With yellow page borders",5-10.,0
"The Prime Minister of France, Georges Clemenceau, The Prime Minister of the United Kingdom, David Lloyd George, The President of the United States, Woodrow Wilson, The Prime Minister of Italy, Victoria Emanuele Orlando",The big four at the Paris,0
rubber,"Sugar.
Answer the question conc",0
"Prophase I, Prophase II",During meiosis I.,0
Charlie Hanna,"Charlie Hunnam. 
Who",0
28-May-18,"July 15, 202",0
To describe the heavy and disruptive pedestrian and vehicle traffic that would occur,It originated in the 195,0
"Bounded on the west by Tribe ca and Soho, On the south by Chinatown, On the east by the Bowery and Lower East Side, And on the north by Lolita","Greenwich Village, Manhattan.",0
Idris Elba,Bill Murray. Thank you for,0
False positive rate (α) = type I error = − specificity = FP / (FP + TN) = 180 / (180 + 1820) = %,(1 - specificity) /,0
Paul McCoy of the band 12 Stones,Amy Lee. who is singing,0
2011,"2011.
Answer the",1
"19 big cats, 67 small cats","140. 
The Big",0
Constitutional Convention,The Articles of Confederation.,0
DeAndre Jordan,Stephen Curry. Stephen Curry has,0
Sidney `` Sid '',"Manny. 
The sloth",0
The Great Plains of North America in western South Dakota,The Black Hills are located in,0
"At Erin Hills in Erin, Wisconsin, Northwest of Milwaukee",Bally's and the Las,0
"Peyton Randolph, John Hancock","Peyton Randolph.
The Second Continental",0
"A combination of Laotian, Hill - tribe languages and other languages, Thai",Spanish. what language are they,0
Paine,"Thomas Paine.
Answer the",1
11-Mar-18,"2023. 
Note",0
"In Blarney, Near Cork","County Cork.
The Blar",0
Rosa,"Rosie. 
What is the",0
"U.S. Senator Harry F. Byrd, Sr.","Jefferson Davis. 
Jefferson",0
"Germany, Italy, Japan","Germany, Italy, and Japan",0
Megan Park,Brett Dier. who plays,0
The mother,"Your mother.
Answer the question",0
"Ethel Merman, Ray Middleton",Marilyn Monroe in the movie Gent,0
Hillary Clinton,Donald Trump. Source: CNN,0
"Intrinsic factor (IF), Also known as gastric intrinsic factor (GIF)","Intrinsic factor.
Answer the",0
Sixteen and seventeen-year-olds,Scottish citizens aged 16 and,0
19-Mar-17,There is no official release date,0
Sigmoid colon,"the sigmoid colon.
Answer the",1
"In and around Wilmington, North Carolina","Wilmington, North Carolina. The",0
nine,"9.
I am a",0
girl,"Boy. 
Note: This",0
Keegan Connor Tracy,Agnes Bruckner.,0
"Myles Standish Burial Ground (also known as Old Burying Ground or Standish Cemetery) in Duxbury, Massachusetts","Jamestown, Virginia.
Answer",0
Anderson,Dundermifflin,0
Aug-17,2010. 201,0
"In Super Bowl LII, Following the 2017 season",2018.  The,0
India Grants,Tyra Banks won. was,0
Richard Moran,Aidan Turner did not play,0
Primary auditory cortex,"the auditory cortex.

## Step",0
Aragon,"Aragog.
Answer the question",0
British rock band Chumbawamba,"Chumbawamba.
Answer",0
four,"3
The game Jump",0
radio,Radiofrequency waves. What is,1
Pluto,"Pluto. 
What is the",1
21 - gun salute for someone that's fallen,A tribute to the US military,0
Elena,"Elena. 
Answer the question",1
435,435. Next question.,1
1871,"1871. 
Alice",1
Stephen A. Schwarzman Building,The Stephen A. Schwarzman,0
Between 250 km / h to 475 km / h,250-300 km/h,0
Isabella Sermon,Vanessa Lee Chester. Thank you,0
"Mandy Mus grave, Rachel Melvin",MELISSA REYES,0
progesterone,"Pregnancy. 
Answer the question",0
Lifestyle choices,"Health behaviors.
Health behaviors are",0
Internee Simon's,Andrew Bynum. who,0
Wyandot Lake,"Coney Island, Brooklyn,",0
Absorbing helpful substances and providing a barrier against harmful substances,"It is involved in secretion,",0
Naomi Grossman,"Naomi Grossman. 
Answer",1
Stephanie Cornelius sen,"Liza Koshy.
Who",0
Bob Dylan,"Bob Dylan. However, the",1
12-Jan-69,"1969.
Answer the",0
Lionel Messi,Lionel Messi (50 goals in,1
At Medley mountain near the town of Marktschellenberg in Bavaria,"Salzburg, Austria. Next",0
Meerut,"Meerut.
Answer the question",1
"October, 2013",2009. is that,0
Charlie Ward Jr.,Charlie Ward. Answer the question,0
"Commander in Chief of the Army and Navy of the United States, And of the Militia of the several States, When called into the actual Service of the United States",The president serves as the commander,0
Sharon Needles,"Sharon Needles. 
The",1
"Virginia (on its southwest side) and Maryland (on its southeast, northeast, And northwest sides)","Maryland and Virginia.
The post",0
2016,"June 13, 201",0
Late 1990s,"1934.
The first",0
World War I,1917. when did,0
New career in advertising,He starts his own company.,0
"Numero symbol, No",Número. What is the,0
Stanley Joseph Lynch,Benmont Tench played drums,0
Feb-00,2000. This answer,0
Pilot Corporation,"Pilot Flying J. 
Who",0
Immigrants to Western developed countries,Individuals of South Asian descent.,0
20,10. how many times,0
About losing everything but still finding joy in what one has,"The song ""Beautiful Day""",0
General `` Mad '' Anthony Wayne,"Blue Jacket.
Answer the question",0
Lanka,"Lanka.
Answer the question conc",1
The Pittsburgh Steelers,The Pittsburgh Steelers and the New,1
22-Apr-93,1993. was the,0
four,"2. 
Answer the",0
Granville Tailed Woods,"Sir Arthur Edward Webb.
Answer",0
"December, 2015","April 5, 201",0
Every competing nation's flag,The colors in the Olympic rings,0
Robert Guillaume,"James Earl Jones. 
Who",0
Some Hand,Chandragupta I.,0
"South of the Border, A tourist attraction near Dillon, South Carolina","New York City, New York",0
"The Republicans, Who were loyal to the democratic, Left - leaning and relatively urban Second Spanish Republic, In an alliance of convenience with the Anarchists and Communists, The Nationalists, A Phalangist, Car list, Catholic, And largely aristocratic conservative group led by General Francisco Franco","Nationalists and Republicans.
Answer",0
"Super Bowl LII, Following the 2017 season","2018.
The Eagles",0
"goods, capital, services, labor","Freedom of movement for goods,",0
Andrea Mantegna,leonardo da vinci,0
187 mi,Approximately 95 miles. How,0
1954,"April 3, 195",0
chrome,A palomino.,0
Ne - Yo,"Logan Miller. 
Answer the",0
"The deepening relationship between a college graduate, Anastasia Steele, And a young business magnate, Christian Grey",A young woman named Anastasia,0
"Germany, China, France, Russia, The United Kingdom, The United States, Islamic Republic of Iran, European Union","7 countries. 
The",0
Phase transition,"phase changes.
Answer the question",0
"A permanent designation on a vehicle's title, Registration or permit documents to indicate that a vehicle has been written off due to collision, Fire or flood damage or has been sold for scrap",The name of the car itself,0
Jared Harris,"Jared Harris. 
The Sherlock",1
The Walt Disney Company,Disney. who do many critics,0
Optional damage insurance coverage that is available to you when you rent a car,Credit/Debit Waiver,0
Ciliary epithelium,In the anterior and posterior chambers,0
"Yuma, Arizona",The desert scenes in Starg,0
Johns Hopkins School of Medicine,"The University of California, San",0
1851,"1975. 
Answer",0
14-Sep-16,The exact release date for Season,0
Sergey Decayed,Mao Zedong.​,0
Tony ! Toni ! Tone,The Temptations.,0
"All citizens, Irrespective of race, Place of birth, religion, Caste or gender",Vulnerable. Step 1,0
Sivan Chatterjee,"The Mayor. 
Answer the",0
15-Aug-10,The Great Food Truck Race typically,0
24,"128. 
Note:",0
Robert William `` Dabs '' Greer,"Victor French.
Victor French",0
"On a plantation, In the state of Georgia","Georgia. 
Song of the",0
"Sonia Dada, Jerrod Riemann",Mary J. Blige,0
1861,"1861. 
The",1
Gesundheit,You're welcome. What to,0
"Old North Hall, Now called Elliott Hall",The building is the Bilt,0
He is described in Kipling's work as `` the sleepy brown bear ''. Robert Armitage Stern dale,A sloth bear. What,0
Stephanie,"Stephanie means ""crown""",1
Originated in pilgrimages to Jerusalem and a desire to reproduce Via Dolorosa,The Stations of the Cross originated,0
Dr. Lexie Grey (Choler Leigh,Mark Sloan. who dies in,0
"July, 2004",July 2004. Explanation,0
1984,1995. when did,0
State Route (SR),"1.
What is the",0
Ron Howard,"Ron Howard. 
Answer the",1
1916 New York Giants,"John McGraw. 
Who",0
"Two principal mouths in Popular, Tamil Nadu",The Cauvery river reaches,0
18,"18. 
Whats the",1
Jodi Benson,"Jodi Benson.
Answer the",1
The Republic of Nicaragua v. The United States of America (1986),Nicaragua v. United States (,0
1980s,"2005.
The first",0
"Periorbital dark circles, Infraorbital venous stasis, Periorbital hyperpigmentation",Puffiness. Answer the,0
Rosie Taylor - Reason,"Maggie Smith
Answer the question",0
Epistle to Ramsay by the Scottish poet William Hamilton,It originated in the 16,0
seed,The cashew is a seed,1
Robert Parish,Kareem Abdul-Jabbar,0
Τ = L / R being the time it takes the voltage across the component to either fall (across the inductor) or rise (across the resistor) to within / e of its final value,τ = R × L.,0
"Savannah, Georgia, Tyree Island, Georgia",The movie Gifted was filmed,0
"Andrew Harold Rubin, Jay Hammer","Gary Coleman. 
Answer the",0
Eric Garrett,"Karen Bass. 
Note:",0
Muhammad Bukhara,Muhammadu Buhari,0
"At the Circuit of the Americas in Elroy, Texas (12 miles (19 km) south of Austin)","Austin, Texas. 
The",0
"Henri, Banzai, Ed","Shenzi. 
Shen",0
Oct-45,"1944.
Free education",0
Russia,"Russia.
Answer the question conc",1
