,questions,short_answers,responses,logits_of_answers
1850,Answer the question concisely with only the answer: what is the reign of terror in the french revolution? Answer:,The label given by some historians to a period during the French Revolution after the First French Republic was established,1793-1794,0.8468488454818726
1851,Answer the question concisely with only the answer: who wrote the song walk a mile in my shoes? Answer:,Joe South,"Joe Nichols. 
Who wrote",0.7790970802307129
1852,Answer the question concisely with only the answer: where did they film the wonder woman movie? Answer:,"The United Kingdom, France, Italy","Italy, UK, and Malta",0.5561428070068359
1853,Answer the question concisely with only the answer: when was the shot clock introduced to basketball? Answer:,1954 -- 55 season,"1954.
Answer the",0.7924401164054871
1854,Answer the question concisely with only the answer: the sign marked in this triangle in red colour? Answer:,To warn of level crossings ahead,The sign marked in this triangle,0.8009151816368103
1855,Answer the question concisely with only the answer: why is there a moon on the outhouse door? Answer:,Venting and light,"Because it's a ""l",0.8382397890090942
1856,Answer the question concisely with only the answer: when does the new season of hard knocks start? Answer:,"August, 2018",July 2023.,0.6336173415184021
1857,Answer the question concisely with only the answer: who produced this is america by childish gambino? Answer:,"Childish Gambino, Ludwig Göransson","Donald Glover. 
The following",0.6931602358818054
1858,Answer the question concisely with only the answer: who took part in the battle of waterloo? Answer:,"French army, Two of the armies of the Seventh Coalition, British - led Allied army, Prussian army",Napoleon Bonaparte and the,0.7894316911697388
1859,Answer the question concisely with only the answer: in japan the anxiety syndrome termed taijin kyofusho involves a fear of? Answer:,Interpersonal relations,"offending others.
Answer the question",0.7747278213500977
1860,Answer the question concisely with only the answer: what is p a n d a s? Answer:,A hypothesis that there exists a subset of children with rapid onset of obsessive - compulsive disorder (OCD) or tic disorders and these symptoms are caused by group A beta - hemolytic streptococcal (GABS) infections,A type of bear. What,0.6073962450027466
1861,Answer the question concisely with only the answer: what was one significant result of the war of 1812 brainly? Answer:,Two centuries of peace between the United States and Britain,The War of 1812,0.8573983907699585
1862,Answer the question concisely with only the answer: who plays piscatella in orange is the new black? Answer:,Brad William Hence,"Brad Garrett. 
Answer the",0.8967894911766052
1863,Answer the question concisely with only the answer: what year was air conditioning put in cars? Answer:,1933,"1940. 
What",0.692990779876709
1864,Answer the question concisely with only the answer: when was o sacred head now wounded written? Answer:,During the Middle Ages,The earliest known written version of,0.6783727407455444
1865,Answer the question concisely with only the answer: first winner of rupaul's drag race all stars? Answer:,Chad Michaels,Chad Michaels. Answer the question,0.8182555437088013
1866,Answer the question concisely with only the answer: where do tornadoes happen most in the world? Answer:,United States,Tornado Alley in the United,0.755730390548706
1867,Answer the question concisely with only the answer: what is the zakat at the end of ramadan? Answer:,Aka all - Fit,Zakat al-Fitr.,0.7073508501052856
1868,Answer the question concisely with only the answer: who played bozo the clown in the 90s? Answer:,Joey D'Aria,"Willard Scott. 
Who",0.7067658305168152
1869,Answer the question concisely with only the answer: how much light does the sun give off? Answer:,Approximately 98 000 lux (lumens per square meter),3.8 x,0.9756709337234497
1870,Answer the question concisely with only the answer: who was the first ics officer in india? Answer:,Satyendranath Tagore,Mr. S. K,0.3548646569252014
1871,Answer the question concisely with only the answer: what are some names of some types of clouds? Answer:,"cirrus, cirrocumulus, cirrostratus, alto cumulus, altostratus, nimbostratus, cumulus, cumulonimbus, stratocumulus, stratus","Cirrus, Cumulus,",0.9024581909179688
1872,Answer the question concisely with only the answer: when did black panther come out in theatres? Answer:,"February 16, 2018",February 2018.,0.7329680919647217
1873,Answer the question concisely with only the answer: where does the last name flynn come from? Answer:,Ireland,"Ireland. 
The Flynn surname",0.6707878112792969
1874,Answer the question concisely with only the answer: who won out of collingwood and st kilda? Answer:,Collingwood,"St Kilda. 
Who",0.5656554102897644
1875,Answer the question concisely with only the answer: suggest a pollutant which can be found in the industrial effluent? Answer:,cadmium,"Heavy metals.
Answer the question",0.7182492017745972
1876,Answer the question concisely with only the answer: how many questions are there in the life in the uk test? Answer:,24,"24. 
The Life",0.838038444519043
1877,Answer the question concisely with only the answer: who does leslie marry in parks and rec? Answer:,"Sir Benjamin `` Ben '' Wyatt, O.B.E.","Ben Wyatt. 
Answer the",0.7995977401733398
1878,Answer the question concisely with only the answer: who is in charge of enforcing the 18th amendment? Answer:,Volstead Act,The Prohibition Bureau of the,0.9197195768356323
1879,Answer the question concisely with only the answer: us female leader of a club scout group? Answer:,Scouters,Lord Robert Baden-Powell,0.6903836131095886
1880,Answer the question concisely with only the answer: who did ain't no mountain high enough? Answer:,Marvin Gaye and Tammi Terrell,Marvin Gaye and Tammi,0.9353440999984741
1881,Answer the question concisely with only the answer: when do you start high school in korea? Answer:,Age 15 -- 17,3rd grade.,0.5942657589912415
1882,Answer the question concisely with only the answer: when was pretty fly for a white guy made? Answer:,1998,"2000.
Answer the",0.5889456868171692
1883,Answer the question concisely with only the answer: when was the three point seat belt invented? Answer:,1955,"1959.
The three",0.7366527318954468
1884,Answer the question concisely with only the answer: when did china take control of hong kong? Answer:,July 1997,"1997.
The question",0.5829331874847412
1885,Answer the question concisely with only the answer: who's picture is on the ten dollar bill? Answer:,"Alexander Hamilton, Who served as the first U.S. Secretary of the Treasury",Alexander Hamilton. I would like,0.47505292296409607
1886,Answer the question concisely with only the answer: the first modern textile mill was established at mumbai in 1854 by whom? Answer:,Coaster Fanboy Dakar (1815 - 73) and his associates,Cowasji Nanabhai,0.8441157341003418
1887,Answer the question concisely with only the answer: which country's head visit to pakistan first? Answer:,Iran,Saudi Arabia.. The answer,0.41486847400665283
1888,Answer the question concisely with only the answer: when did fast and furious 7 come out? Answer:,"April, 2015","April 3, 201",0.9565285444259644
1889,Answer the question concisely with only the answer: who was the man who tightroped across the twin towers? Answer:,Philippe Petite,"Philippe Petit.
Answer the question",0.8518800735473633
1890,Answer the question concisely with only the answer: where is the thoracic cavity located in the body? Answer:,The chest,Between the diaphragm and,0.8175713419914246
1891,Answer the question concisely with only the answer: what is the movie if beale street could talk about? Answer:,An African - American woman who seeks to clear the name of her wrongly convicted husband and prove his innocence before the birth of their child.,It is based on the novel,0.5331985354423523
1892,Answer the question concisely with only the answer: what is the maximum speed limit on national roads in ireland? Answer:,120 km / h (75 mph),120km/h. What,0.7893292903900146
1893,Answer the question concisely with only the answer: who starred in the hand that rocks the cradle? Answer:,"Annabella Sierra, Rebecca De Mornay",Bette Midler.,0.8519920110702515
1894,Answer the question concisely with only the answer: when do you get given an eternity ring? Answer:,On the occasion of a significant anniversary,On the anniversary of getting engaged,0.44116806983947754
1895,Answer the question concisely with only the answer: who's line is it anyway original cast? Answer:,"Colin More, Ryan Stiles, Wayne Brady, Drew Carey","Wayne Brady, Colleen Ball",0.6171469688415527
1896,Answer the question concisely with only the answer: which person deals with all financial affairs of musicians and artists? Answer:,A talent manager,"Manager. 
The manager is",0.6082085371017456
1897,Answer the question concisely with only the answer: who won the fight in the first rocky movie? Answer:,Creed,Apollo Creed. (Note:,0.6263402700424194
1898,Answer the question concisely with only the answer: who sang for the wonders in that thing you do? Answer:,Mike Viola,"Hanson. 

The Wonders",0.4858641028404236
1899,Answer the question concisely with only the answer: where did the first one day match was played in india? Answer:,1721,at the maidan in calc,0.690830647945404
1900,Answer the question concisely with only the answer: how many episodes of rick and morty will there be? Answer:,10 episodes,"70. 
Note:",0.8278574347496033
1901,Answer the question concisely with only the answer: who is the oldest person to have a baby naturally? Answer:,71 years,Maria del Carmen Bousada,0.9565025568008423
1902,Answer the question concisely with only the answer: what movie is the song i will remember you from? Answer:,The Brothers McMullin,"Meet Joe Black. 
The",0.599721372127533
1903,Answer the question concisely with only the answer: who was the first person to make a motorcycle? Answer:,Ernest Mich aux,Gottlieb Daimler,1.0
1904,Answer the question concisely with only the answer: list one provision of the treaty that was imposed on germany? Answer:,The War Guilt clause,Reparations. (1,0.5495268106460571
1905,Answer the question concisely with only the answer: where does the show the middle take place? Answer:,"In the small fictional town of Orson, Indiana","Orson, Indiana. Next",0.8183769583702087
1906,Answer the question concisely with only the answer: jackass' cast member dies in car crash? Answer:,"Dunn, 2011","Yes.

## Step 1",0.7333893179893494
1907,Answer the question concisely with only the answer: who is the singer of o o jane jana? Answer:,Jamaal Khan,Arijit Singh and A,0.6852096915245056
1908,Answer the question concisely with only the answer: who plays the twins on a series of unfortunate events? Answer:,Jacqueline and Joyce Robbins,Neil Patrick Harris and Patrick Demp,0.8540172576904297
1909,Answer the question concisely with only the answer: who was given authority under the constitution to choose the president in 1824? Answer:,House of Representatives,The House of Representatives. (,0.8417119979858398
1910,Answer the question concisely with only the answer: when was income tax introduced in the uk? Answer:,1842,"1799.
Who was",0.6022226810455322
1911,Answer the question concisely with only the answer: when did the xbox one s 500 gb come out? Answer:,"August 23, 2016","2016. 
The",0.7821061015129089
1912,Answer the question concisely with only the answer: who played ray in star wars the force awakens? Answer:,Daisy Jazz Isabel Ridley,"John Boyega.
What is",0.6021338701248169
1913,Answer the question concisely with only the answer: the capital of india was shifted to delhi during the region of? Answer:,King George V and Queen Mary,"shah jahan
Answer",0.5983802676200867
1914,Answer the question concisely with only the answer: new england patriots are from what us state? Answer:,Massachusetts,"Massachusetts. 
The New England",0.7704054713249207
1915,Answer the question concisely with only the answer: who is charlie writing to perks of being a wallflower? Answer:,An unknown recipient,Charlie writes to an anonymous friend,0.8138076663017273
1916,Answer the question concisely with only the answer: what was japan foreign policy in the tokugawa era? Answer:,isolationist,"Isolationist.
Answer the",0.635485053062439
1917,Answer the question concisely with only the answer: when did apollo 11 first land on the moon? Answer:,"July 20, 1969, At 20 : 18 UTC","July 20, 196",1.0
1918,Answer the question concisely with only the answer: what is chuck roast called in the uk? Answer:,Braising steak,"Braising steak. 
What",0.552844226360321
1919,Answer the question concisely with only the answer: who is an example of a nationalist romantic composer? Answer:,Frédéric Chopin,Richard Wagner. is the question,0.4125179052352905
1920,Answer the question concisely with only the answer: where is the chip placed in a cat? Answer:,Below the skin at the back of the neck between the shoulder blades on the dorsal midline,Behind the eye. is the,0.5801777839660645
1921,Answer the question concisely with only the answer: who gets married in season 12 of grey's anatomy? Answer:,Richard and Catherine,Jo Wilson and Alex Karev,0.774816632270813
1922,Answer the question concisely with only the answer: when was the last year quarters were made of silver? Answer:,1964,"1964. 
In",0.7017762660980225
1923,Answer the question concisely with only the answer: who played robert baratheon on game of thrones? Answer:,Mark Ian Add,"Mark Addy. 
The",0.7766566276550293
1924,Answer the question concisely with only the answer: who said off with their heads in alice in wonderland? Answer:,The Queen of Hearts,The Queen of Hearts.,0.9349492788314819
1925,Answer the question concisely with only the answer: when did the last kingdom hearts game come out? Answer:,"March, 2017 in Japan, March 28, 2017 in North America","2022.
Answer the",0.5179046392440796
1926,Answer the question concisely with only the answer: who did the voice of granny on looney tunes? Answer:,Emma Webster,"June Foray. 
June",0.7793893218040466
1927,Answer the question concisely with only the answer: why is joey potter's dad in prison? Answer:,Drug trafficking,He was involved in a robbery,0.6893298029899597
1928,Answer the question concisely with only the answer: what does luca brasi sleeps with the fishes mean? Answer:,That Brasi's corpse was thrown into a body of water by Solozzo's and Tattaglia's men,It means that someone has been,0.7587360143661499
1929,Answer the question concisely with only the answer: how long is the term of barangay captain? Answer:,Three - year terms,"3 years.
Answer the",0.8782857656478882
1930,Answer the question concisely with only the answer: when was nepali language included in 8th schedule? Answer:,1992,2004. when was,0.5721942782402039
1931,Answer the question concisely with only the answer: who did tom hanks work for in castaway? Answer:,FedEx,"FedEx. 
In the movie",0.7227978706359863
1932,Answer the question concisely with only the answer: when does descendants 2 come on on disney channel? Answer:,"July 21, 2017",8pm. on dis,0.18033084273338318
1933,Answer the question concisely with only the answer: what is the average alcohol content of mead? Answer:,From about. % ABV to more than 20 %,8-12% AB,0.9711315035820007
1934,Answer the question concisely with only the answer: what year did maradona scored with his hand? Answer:,1986,"1986
Answer the",0.8610776662826538
1935,Answer the question concisely with only the answer: where does the blood in the hepatic portal vein come from? Answer:,"Gastrointestinal tract, gallbladder, pancreas, spleen",The blood in the hepatic,0.843524158000946
1936,Answer the question concisely with only the answer: calcutta is situated on the banks of which river? Answer:,The Highly River,Ganges. Answer the question,0.6824491024017334
1937,Answer the question concisely with only the answer: who is the oldest person living on earth? Answer:,Violet Brown,117 year old Kane Tan,0.48501285910606384
1938,Answer the question concisely with only the answer: who provided the voice of the geico insurance? Answer:,"Kelsey Grammar, Dave Kelly, Jake Wood",Kelsey Grammer.,0.9624865055084229
1939,Answer the question concisely with only the answer: who played oliver twist in the 1968 film? Answer:,Mark Lester,"Ron Moody. 
Answer the",0.727820098400116
1940,Answer the question concisely with only the answer: who is the issuing authority for pennsylvania drivers license? Answer:,The Pennsylvania Department of Transportation (Penn DOT),Pennsylvania Department of Transportation (Penn,0.9735218286514282
1941,Answer the question concisely with only the answer: on a spring scale that measures force a reading shows? Answer:,weight,The force exerted by the,0.7655189037322998
1942,Answer the question concisely with only the answer: most developed state in india according to un? Answer:,Kerala,Kerala. Answer the question conc,0.7858644723892212
1943,Answer the question concisely with only the answer: what is the snowman's name in frozen? Answer:,Olaf,"Olaf. 
The name",0.7154314517974854
1944,Answer the question concisely with only the answer: where was the superbowl played when the saints won? Answer:,"Hard Rock Stadium (formerly Joe Robbie Stadium) in Miami Gardens, Florida","Miami. 
Answer the question",0.8152685165405273
1945,Answer the question concisely with only the answer: when do you get a free throw in basketball? Answer:,After a foul,When a player is fouled,0.9125984907150269
1946,Answer the question concisely with only the answer: how many bridges in the city of pittsburgh? Answer:,446,Over 446 bridges. Source,0.6112507581710815
1947,Answer the question concisely with only the answer: who played daisy duke on the dukes of hazzard? Answer:,Catherine Bach,"Catherine Bach.
Answer the question",0.8789216876029968
1948,Answer the question concisely with only the answer: who preached the sermon sinners in the hands of an angry god? Answer:,British Colonial Christian theologian Jonathan Edwards,"Jonathan Edwards.
Who preached the",0.7706961631774902
1949,Answer the question concisely with only the answer: when did the movie the sixth sense come out? Answer:,1999,"1999. 

The",0.7303479909896851
1950,Answer the question concisely with only the answer: how do you find the sum of squared residuals? Answer:,Total sum of squares = explained sum of squares + residual sum of squares,Use the formula Σ (y,0.48633453249931335
1951,Answer the question concisely with only the answer: which commandment is honor thy father and mother? Answer:,The fifth,"The fifth. 
The Fifth",0.46644315123558044
1952,Answer the question concisely with only the answer: what three apollo missions left reflectors on the moon? Answer:,"11, 14, And 15","Apollo 11, Apollo",1.0
1953,Answer the question concisely with only the answer: who does michael get married to in the office? Answer:,Hollis `` Holly '' Partridge Scott,"Holly Flax. 

Note",0.6722452640533447
1954,Answer the question concisely with only the answer: famous marathon runner who died of a heart attack? Answer:,James Fuller `` Jim '' Fix,Steve Prefontaine.,0.9231956005096436
1955,Answer the question concisely with only the answer: what type of poetry did lewis carroll wrote for his books? Answer:,love,Nonsense verse. What is,0.7104179263114929
1956,Answer the question concisely with only the answer: who played king robert in game of thrones? Answer:,Mark Ian Add,"Mark Addy. 
Who",0.8255324363708496
1957,Answer the question concisely with only the answer: in the united states the only legally sanctioned form of marriage is? Answer:,monogamous,monogamous heterosexual marriage.,0.6304597854614258
1958,Answer the question concisely with only the answer: when did the books end in game of thrones? Answer:,Before the start of the sixth season,"In the books, the series",0.596726655960083
1959,Answer the question concisely with only the answer: who sang the original version of do you hear what i hear? Answer:,Harry Someone Chorale,"Bing Crosby. 
Who sang",0.8756038546562195
1960,Answer the question concisely with only the answer: what happened to the lead singer of killswitch engage? Answer:,Sent the band members an e-mail telling them he had quit,Tom S. Englund left,0.8053454160690308
1961,Answer the question concisely with only the answer: how many times has juventus won uefa champions league? Answer:,twice,"2
Answer the question",0.870538592338562
1962,Answer the question concisely with only the answer: who enforces the controlled substances act of 1970? Answer:,Drug Enforcement Administration,The U.S. Drug Enforcement,0.8544482588768005
1963,Answer the question concisely with only the answer: who won the hockey game between usa and russia? Answer:,The U.S. team,USA. who won the hockey,0.6301441788673401
1964,Answer the question concisely with only the answer: when is the new hotel transylvania movie coming out? Answer:,"July 13, 2018",There is no official release date,0.844117283821106
1965,Answer the question concisely with only the answer: who was the last living person on the titanic? Answer:,Eliza Gladys `` Milling '' Dean,The last living person on,0.6555032730102539
1966,Answer the question concisely with only the answer: when did brides start wearing white wedding dresses? Answer:,1840,"1840. 
The",0.7453042268753052
1967,Answer the question concisely with only the answer: what happens to the soil after growing cereal crops repeatedly in the same field? Answer:,Depletes the soil of certain nutrients,The soil becomes depleted of nutrients,0.9065889120101929
1968,Answer the question concisely with only the answer: who wrote a book describing the universe with the sun in the center? Answer:,Nicolaus Copernicus,"Copernicus
Answer the",0.8007473945617676
1969,Answer the question concisely with only the answer: how old is dorothy from the wizard of oz supposed to be? Answer:,"A year younger than Betsy Bobbin and a year older than Trot, Whose age was specified as 10 in Ruth Glumly Thompson's The Giant Horse of Oz","16
Answer the question",0.729487419128418
1970,Answer the question concisely with only the answer: who does bo end up with on lost girl? Answer:,Lauren,"Lauren.
Answer the question conc",0.6832968592643738
1971,Answer the question concisely with only the answer: what is the name of nigeria inspector general of police? Answer:,Ibrahim Idris Sputum,Usman Alkali Baba,0.8914409875869751
1972,Answer the question concisely with only the answer: what is the number in the song kiss me through the phone? Answer:,678 - 999 - 8212,"9.
What is the",0.680036187171936
1973,Answer the question concisely with only the answer: when was the first 2 dollar bill printed? Answer:,March 1862,"1862. 
When",0.7869150042533875
1974,Answer the question concisely with only the answer: who built the famous dilwara temple at mount abu in rajasthan in the 13th century? Answer:,Vital Shah,the vimal shah.,0.6226364970207214
1975,Answer the question concisely with only the answer: when was the burj al arab dubai built? Answer:,1999,1999. Was the,0.7142660021781921
1976,Answer the question concisely with only the answer: aurangzeb road in the heart of new delhi was re named after which personality? Answer:,Dr APJ Abdul Adam,shahjahan road was,0.812978208065033
1977,Answer the question concisely with only the answer: who called for resistance to the stamp act? Answer:,The Sons of Liberty,Patrick Henry. who was the,0.7242144346237183
1978,Answer the question concisely with only the answer: what time do ap college football rankings come out? Answer:,Sundays at pm Eastern time during the football season,The AP College Football Rankings are,0.6832920908927917
1979,Answer the question concisely with only the answer: what is the projection of a satellite's orbit onto the earth represented in a 2d map called? Answer:,Ground track,"A cartogram.

## Step",0.5956376791000366
1980,Answer the question concisely with only the answer: what is the speed limit on interstate 25 in wyoming? Answer:,65 mph,"80 mph.

The final",0.7170833349227905
1981,Answer the question concisely with only the answer: who is running for attorney general in wi? Answer:,"Republican incumbent Brad Scheme, Voting rights attorney and former federal prosecutor Josh Paul","Josh Kaul.
Josh K",0.7317325472831726
1982,Answer the question concisely with only the answer: what part of alaska is the last frontier filmed? Answer:,11 miles outside of Homer,The Glennallen area. The,0.44958382844924927
1983,Answer the question concisely with only the answer: what state is gone with the wind set in? Answer:,Georgia,"Georgia. 
This answer is",0.5665082335472107
1984,Answer the question concisely with only the answer: what is the song funky cold medina about? Answer:,A fictional aphrodisiac,The song is about a person,0.7174147367477417
1985,Answer the question concisely with only the answer: who is usually credited for the popularization of tobacco in england? Answer:,John Hawkins,Sir Walter Raleigh. who is,0.9126489162445068
1986,Answer the question concisely with only the answer: where are the winter olympics held in 2018? Answer:,"Pyongyang County, South Korea","Pyeongchang, South",1.0
1987,Answer the question concisely with only the answer: who is the song about you're so vain? Answer:,Actor Warren Beatty,David Bowie. (Note:,0.7801973223686218
1988,Answer the question concisely with only the answer: when did oklahoma university win the national championship? Answer:,"1950, 1955, 1956, 1974, 1975, 1985, 2000","1955, 195",0.7975010275840759
1989,Answer the question concisely with only the answer: who has won the most mvp in nba history? Answer:,Kareem Abdul - Jabber,Kareem Abdul-Jabbar,1.0
1990,Answer the question concisely with only the answer: how many schedule the constitution of india contains? Answer:,12,8 Schedules. Step,0.7317712306976318
1991,Answer the question concisely with only the answer: who plays jesus in the movie mary magdalene? Answer:,Joaquin Phoenix,Roar Uthaug.,0.8190767168998718
1992,Answer the question concisely with only the answer: when was the fast and the furious made? Answer:,2001,"2001. 
The",0.8443214297294617
1993,Answer the question concisely with only the answer: who starred in the original orient express movie? Answer:,"Ingrid Bergman, Albert Finney, Sean Connery, John Gielgud, Vanessa Redgrave, Michael York, Jacqueline Basset, Anthony Perkins, Wendy Hitler",Albert Finney and Lauren Bac,0.7518429160118103
1994,Answer the question concisely with only the answer: who won the season 11 of the voice? Answer:,Sun dance Head,Cassadee Pope.,0.9255265593528748
1995,Answer the question concisely with only the answer: when does stark die in game of thrones? Answer:,"The ninth episode of season, `` Baylor ''",At the end of Season,0.735134482383728
1996,Answer the question concisely with only the answer: who plays victor on fear the walking dead? Answer:,", Domingo",Colman Domingo.,0.9229719042778015
1997,Answer the question concisely with only the answer: when does the movie the first man come out? Answer:,"October 12, 2018","April 12, 201",0.8448960781097412
1998,Answer the question concisely with only the answer: who was the first person who invented the light bulb? Answer:,Thomas Alva Edison,"Thomas Edison. 
The question",0.6731845140457153
1999,Answer the question concisely with only the answer: where does the maze runner book take place? Answer:,The Glade,"The Glade, a mysterious",0.8560957908630371
2000,Answer the question concisely with only the answer: where is the field of dreams field located? Answer:,"Dubuque County, Iowa, Near Ayersville","Dyersville, Iowa.",0.9359938502311707
2001,Answer the question concisely with only the answer: how is polly related to tommy shelby in peaky blinders? Answer:,The aunt of Tommy,She is his sister.,0.7338647246360779
2002,Answer the question concisely with only the answer: who invented the standard unit of measuring temperature? Answer:,Kelvin,Gabriel Fahrenheit. who invented the,0.8782097697257996
2003,Answer the question concisely with only the answer: who sings might as well go for a soda? Answer:,Joseph Kim Mitchell,"Nada Surf. 
Answer",0.6095566749572754
2004,Answer the question concisely with only the answer: what is the song rain by swv about? Answer:,Based on Jack Pastorius's `` Portrait of Tracy.,"The song ""Rain"" by",0.9846974611282349
2005,Answer the question concisely with only the answer: how many floors does the aria las vegas have? Answer:,61,"4. 

The A",0.5440030694007874
2006,Answer the question concisely with only the answer: the genetic code is contained within the nucleotide sequences of what type of organic molecule? Answer:,Polymeric macromolecules,DNA and RNA. DNA and,0.5984842777252197
2007,Answer the question concisely with only the answer: who plays the big monkey in the jungle book? Answer:,Christopher Walken,"Jason Scott Lee. 
The",0.6186339855194092
2008,Answer the question concisely with only the answer: an option market hedge in foreign exchange risk management is a form of an? Answer:,Foreign exchange hedge,"Option hedge.

## Step",0.608638346195221
2009,Answer the question concisely with only the answer: where do the new york giants play their home games? Answer:,"MetLife Stadium in East Rutherford, New Jersey",MetLife Stadium in East R,0.8789564967155457
2010,Answer the question concisely with only the answer: when did american samoa become a us territory? Answer:,1899,"1900.
American Samoa",0.7333259582519531
2011,Answer the question concisely with only the answer: where is the 11 foot 8 inch bridge? Answer:,"Durham, North Carolina","Jacksonville, Florida. 
The",0.6401984095573425
2012,Answer the question concisely with only the answer: who laid out the first mughal garden in india? Answer:,Ba bur,"Babur.
Answer the question",0.8762770891189575
2013,Answer the question concisely with only the answer: who is the author of the little mermaid? Answer:,Hans Christian Andersen,"Hans Christian Andersen. 
The",0.8729666471481323
2014,Answer the question concisely with only the answer: who plays the main character in fantastic beasts and where to find them? Answer:,Eddie Redman,Eddie Redmayne.,0.9365781545639038
2015,Answer the question concisely with only the answer: what kind of tissue is tendons and ligaments? Answer:,Fibrous connective tissue,"Connective
Answer the question",0.8406624794006348
2016,Answer the question concisely with only the answer: who sings have i told you that i love you? Answer:,Northern Irish singer-songwriter Van Morrison,"Adele. 
Ade",0.6179232597351074
2017,Answer the question concisely with only the answer: where was pride and prejudice filmed with keira knightley? Answer:,England,"Various locations in England, including",0.8282032012939453
2018,Answer the question concisely with only the answer: what is hero's last name in big hero 6? Answer:,Ramada,"Callaghan. 
Answer the",0.804862380027771
2019,Answer the question concisely with only the answer: where was the declaration of independence signed at? Answer:,"Pennsylvania State House (Independence Hall) in Philadelphia, Pennsylvania","Philadelphia
Answer the question conc",0.8272624015808105
2020,Answer the question concisely with only the answer: who has the highest goal in la liga? Answer:,Barcelona's Lionel Messi,"Lionel Messi. 
Note:",0.8183331489562988
2021,Answer the question concisely with only the answer: when did the glock gen 2 come out? Answer:,1988,"1985. 
When",0.5978692770004272
2022,Answer the question concisely with only the answer: who were the two spies who gave a good report of the promised land? Answer:,Joshua and Caleb,"Joshua and Caleb. 
Answer",0.8913401961326599
2023,Answer the question concisely with only the answer: when did the first captain america come out? Answer:,"December 20, 1940",1941. The first,0.7910017967224121
2024,Answer the question concisely with only the answer: who plays jack on secret life of the american teenager? Answer:,Gregory P. Finley II,Daren Kagasoff.,0.9719778299331665
2025,Answer the question concisely with only the answer: what do you mean by adapted physical education? Answer:,"The art and science of developing, implementing, And monitoring a carefully designed physical education instructional program for a learner with a disability, Based on a comprehensive assessment, To give the learner the skills necessary for a lifetime of rich leisure, recreation, And sport experiences to enhance physical fitness and wellness",It is a type of physical,0.748208224773407
2026,Answer the question concisely with only the answer: who won so you think you can dance season 2? Answer:,Benji Swimmer,"Benji Schwimmer.
Answer",0.7562350034713745
2027,Answer the question concisely with only the answer: who has the most tackles in a nfl game? Answer:,Chris Bowland,"Ray Lewis. 
Who holds",0.5145532488822937
2028,Answer the question concisely with only the answer: what was a stoker in the royal navy? Answer:,Job title for someone whose job is to tend the fire for the running of a steam engine,"A fireman.
A fire",0.4826098084449768
2029,Answer the question concisely with only the answer: when was fosters home for imaginary friends made? Answer:,"August 13, 2004, May, 2009","1999. 
Answer",0.8664629459381104
2030,Answer the question concisely with only the answer: when was the first battle of plassey fought? Answer:,23 June 1757,23 june 175,0.8585591316223145
2031,Answer the question concisely with only the answer: does the clone wars movie or show come first? Answer:,film,The show comes first.,0.7374557852745056
2032,Answer the question concisely with only the answer: who plays the president in house of cards? Answer:,Michel Gill,"Kevin Spacey. 
House",0.8327180743217468
2033,Answer the question concisely with only the answer: where will the fifa world cup be held in 2022? Answer:,Qatar,"Qatar.

Answer the question conc",0.7637327909469604
2034,Answer the question concisely with only the answer: what is the definition of a sex offender? Answer:,A person who has committed a sex crime,A sex offender is an individual,1.0
2035,Answer the question concisely with only the answer: which country has played the most world cup matches? Answer:,Brazil,"Germany. 
Which country has",0.6496901512145996
2036,Answer the question concisely with only the answer: how tall is jessie graff american ninja warrior? Answer:,Ft in,"5'4"".",0.7258038520812988
2037,Answer the question concisely with only the answer: when did labrador become a part of newfoundland? Answer:,1809,"1809. 
When",0.5692692399024963
2038,Answer the question concisely with only the answer: when does deeks first appear in ncis la? Answer:,"April 27, 2010","Season 1, Episode",0.8586918711662292
2039,Answer the question concisely with only the answer: who was you make loving fun written about? Answer:,Curry Grant,"Elton John. 
Answer",0.5712146759033203
2040,Answer the question concisely with only the answer: how many feet in 1 acre of land? Answer:,"43,560 square feet","43,560
Answer",0.8151121139526367
2041,Answer the question concisely with only the answer: what is the heart of the ocean made of? Answer:,Cubic zirconias set in white gold,1.6 million car,0.3881300389766693
2042,Answer the question concisely with only the answer: who sings opening song on sunday night football? Answer:,Carrie Underwood,"Carrie Underwood.
Who sings",0.6595666408538818
2043,Answer the question concisely with only the answer: what are the laws in new york regarding texting or phoning while driving? Answer:,Prohibit all drivers from using hand - held cell phones,"In New York, texting or",0.8794037103652954
2044,Answer the question concisely with only the answer: who plays benny the bull in real life? Answer:,Barry Anderson,"Anthony Caruso. 
Answer",0.6350091099739075
2045,Answer the question concisely with only the answer: what does the srt stand for on dodge vehicles? Answer:,Street & Racing Technology,"Sport, Track, and Technology",0.4399513602256775
2046,Answer the question concisely with only the answer: when did china become a member of the united nations? Answer:,"October 24, 1945","October 24, 197",0.9286252856254578
2047,Answer the question concisely with only the answer: bsf is responsible for gardening on border of which country? Answer:,India,"India
Answer the question conc",0.8079565763473511
2048,Answer the question concisely with only the answer: what date did riverdale season 1 start airing on tv? Answer:,"January 26, 2017","October 11, 201",0.8593559265136719
2049,Answer the question concisely with only the answer: when is dragon ball z fighters coming out? Answer:,"January 26, 2018",Not available. This information is,0.3326268196105957
2050,Answer the question concisely with only the answer: who played aragon in the lord of the rings movies? Answer:,Mortensen,Viggo Mortensen.,0.9374065399169922
