,questions,short_answers,responses
1923,Answer the question concisely with only the answer: who played robert baratheon on game of thrones? Answer:,Mark Ian Add,"Mark Addy. 
The"
1924,Answer the question concisely with only the answer: who said off with their heads in alice in wonderland? Answer:,The Queen of Hearts,The Queen of Hearts.
1925,Answer the question concisely with only the answer: when did the last kingdom hearts game come out? Answer:,"March, 2017 in Japan, March 28, 2017 in North America","2022.
Answer the"
1926,Answer the question concisely with only the answer: who did the voice of granny on looney tunes? Answer:,Emma Webster,"June Foray. 
June"
1927,Answer the question concisely with only the answer: why is joey potter's dad in prison? Answer:,Drug trafficking,He was involved in a robbery
1928,Answer the question concisely with only the answer: what does luca brasi sleeps with the fishes mean? Answer:,That Brasi's corpse was thrown into a body of water by Solozzo's and Tattaglia's men,It means that someone has been
1929,Answer the question concisely with only the answer: how long is the term of barangay captain? Answer:,Three - year terms,"3 years.
Answer the"
1930,Answer the question concisely with only the answer: when was nepali language included in 8th schedule? Answer:,1992,2004. when was
1931,Answer the question concisely with only the answer: who did tom hanks work for in castaway? Answer:,FedEx,"FedEx. 
In the movie"
1932,Answer the question concisely with only the answer: when does descendants 2 come on on disney channel? Answer:,"July 21, 2017",8pm. on dis
1933,Answer the question concisely with only the answer: what is the average alcohol content of mead? Answer:,From about. % ABV to more than 20 %,8-12% AB
1934,Answer the question concisely with only the answer: what year did maradona scored with his hand? Answer:,1986,"1986
Answer the"
1935,Answer the question concisely with only the answer: where does the blood in the hepatic portal vein come from? Answer:,"Gastrointestinal tract, gallbladder, pancreas, spleen",The blood in the hepatic
1936,Answer the question concisely with only the answer: calcutta is situated on the banks of which river? Answer:,The Highly River,Ganges. Answer the question
1937,Answer the question concisely with only the answer: who is the oldest person living on earth? Answer:,Violet Brown,117 year old Kane Tan
1938,Answer the question concisely with only the answer: who provided the voice of the geico insurance? Answer:,"Kelsey Grammar, Dave Kelly, Jake Wood",Kelsey Grammer.
1939,Answer the question concisely with only the answer: who played oliver twist in the 1968 film? Answer:,Mark Lester,"Ron Moody. 
Answer the"
1940,Answer the question concisely with only the answer: who is the issuing authority for pennsylvania drivers license? Answer:,The Pennsylvania Department of Transportation (Penn DOT),Pennsylvania Department of Transportation (Penn
1941,Answer the question concisely with only the answer: on a spring scale that measures force a reading shows? Answer:,weight,The force exerted by the
1942,Answer the question concisely with only the answer: most developed state in india according to un? Answer:,Kerala,Kerala. Answer the question conc
1943,Answer the question concisely with only the answer: what is the snowman's name in frozen? Answer:,Olaf,"Olaf. 
The name"
1944,Answer the question concisely with only the answer: where was the superbowl played when the saints won? Answer:,"Hard Rock Stadium (formerly Joe Robbie Stadium) in Miami Gardens, Florida","Miami. 
Answer the question"
1945,Answer the question concisely with only the answer: when do you get a free throw in basketball? Answer:,After a foul,When a player is fouled
1946,Answer the question concisely with only the answer: how many bridges in the city of pittsburgh? Answer:,446,Over 446 bridges. Source
1947,Answer the question concisely with only the answer: who played daisy duke on the dukes of hazzard? Answer:,Catherine Bach,"Catherine Bach.
Answer the question"
1948,Answer the question concisely with only the answer: who preached the sermon sinners in the hands of an angry god? Answer:,British Colonial Christian theologian Jonathan Edwards,"Jonathan Edwards.
Who preached the"
1949,Answer the question concisely with only the answer: when did the movie the sixth sense come out? Answer:,1999,"1999. 

The"
1950,Answer the question concisely with only the answer: how do you find the sum of squared residuals? Answer:,Total sum of squares = explained sum of squares + residual sum of squares,Use the formula Σ (y
1951,Answer the question concisely with only the answer: which commandment is honor thy father and mother? Answer:,The fifth,"The fifth. 
The Fifth"
1952,Answer the question concisely with only the answer: what three apollo missions left reflectors on the moon? Answer:,"11, 14, And 15","Apollo 11, Apollo"
1953,Answer the question concisely with only the answer: who does michael get married to in the office? Answer:,Hollis `` Holly '' Partridge Scott,"Holly Flax. 

Note"
1954,Answer the question concisely with only the answer: famous marathon runner who died of a heart attack? Answer:,James Fuller `` Jim '' Fix,Steve Prefontaine.
1955,Answer the question concisely with only the answer: what type of poetry did lewis carroll wrote for his books? Answer:,love,Nonsense verse. What is
1956,Answer the question concisely with only the answer: who played king robert in game of thrones? Answer:,Mark Ian Add,"Mark Addy. 
Who"
1957,Answer the question concisely with only the answer: in the united states the only legally sanctioned form of marriage is? Answer:,monogamous,monogamous heterosexual marriage.
1958,Answer the question concisely with only the answer: when did the books end in game of thrones? Answer:,Before the start of the sixth season,"In the books, the series"
1959,Answer the question concisely with only the answer: who sang the original version of do you hear what i hear? Answer:,Harry Someone Chorale,"Bing Crosby. 
Who sang"
1960,Answer the question concisely with only the answer: what happened to the lead singer of killswitch engage? Answer:,Sent the band members an e-mail telling them he had quit,Tom S. Englund left
1961,Answer the question concisely with only the answer: how many times has juventus won uefa champions league? Answer:,twice,"2
Answer the question"
1962,Answer the question concisely with only the answer: who enforces the controlled substances act of 1970? Answer:,Drug Enforcement Administration,The U.S. Drug Enforcement
1963,Answer the question concisely with only the answer: who won the hockey game between usa and russia? Answer:,The U.S. team,USA. who won the hockey
1964,Answer the question concisely with only the answer: when is the new hotel transylvania movie coming out? Answer:,"July 13, 2018",There is no official release date
1965,Answer the question concisely with only the answer: who was the last living person on the titanic? Answer:,Eliza Gladys `` Milling '' Dean,The last living person on
1966,Answer the question concisely with only the answer: when did brides start wearing white wedding dresses? Answer:,1840,"1840. 
The"
1967,Answer the question concisely with only the answer: what happens to the soil after growing cereal crops repeatedly in the same field? Answer:,Depletes the soil of certain nutrients,The soil becomes depleted of nutrients
1968,Answer the question concisely with only the answer: who wrote a book describing the universe with the sun in the center? Answer:,Nicolaus Copernicus,"Copernicus
Answer the"
1969,Answer the question concisely with only the answer: how old is dorothy from the wizard of oz supposed to be? Answer:,"A year younger than Betsy Bobbin and a year older than Trot, Whose age was specified as 10 in Ruth Glumly Thompson's The Giant Horse of Oz","16
Answer the question"
1970,Answer the question concisely with only the answer: who does bo end up with on lost girl? Answer:,Lauren,"Lauren.
Answer the question conc"
1971,Answer the question concisely with only the answer: what is the name of nigeria inspector general of police? Answer:,Ibrahim Idris Sputum,Usman Alkali Baba
1972,Answer the question concisely with only the answer: what is the number in the song kiss me through the phone? Answer:,678 - 999 - 8212,"9.
What is the"
1973,Answer the question concisely with only the answer: when was the first 2 dollar bill printed? Answer:,March 1862,"1862. 
When"
1974,Answer the question concisely with only the answer: who built the famous dilwara temple at mount abu in rajasthan in the 13th century? Answer:,Vital Shah,the vimal shah.
1975,Answer the question concisely with only the answer: when was the burj al arab dubai built? Answer:,1999,1999. Was the
1976,Answer the question concisely with only the answer: aurangzeb road in the heart of new delhi was re named after which personality? Answer:,Dr APJ Abdul Adam,shahjahan road was
1977,Answer the question concisely with only the answer: who called for resistance to the stamp act? Answer:,The Sons of Liberty,Patrick Henry. who was the
1978,Answer the question concisely with only the answer: what time do ap college football rankings come out? Answer:,Sundays at pm Eastern time during the football season,The AP College Football Rankings are
1979,Answer the question concisely with only the answer: what is the projection of a satellite's orbit onto the earth represented in a 2d map called? Answer:,Ground track,"A cartogram.

## Step"
1980,Answer the question concisely with only the answer: what is the speed limit on interstate 25 in wyoming? Answer:,65 mph,"80 mph.

The final"
1981,Answer the question concisely with only the answer: who is running for attorney general in wi? Answer:,"Republican incumbent Brad Scheme, Voting rights attorney and former federal prosecutor Josh Paul","Josh Kaul.
Josh K"
1982,Answer the question concisely with only the answer: what part of alaska is the last frontier filmed? Answer:,11 miles outside of Homer,The Glennallen area. The
1983,Answer the question concisely with only the answer: what state is gone with the wind set in? Answer:,Georgia,"Georgia. 
This answer is"
1984,Answer the question concisely with only the answer: what is the song funky cold medina about? Answer:,A fictional aphrodisiac,The song is about a person
1985,Answer the question concisely with only the answer: who is usually credited for the popularization of tobacco in england? Answer:,John Hawkins,Sir Walter Raleigh. who is
1986,Answer the question concisely with only the answer: where are the winter olympics held in 2018? Answer:,"Pyongyang County, South Korea","Pyeongchang, South"
1987,Answer the question concisely with only the answer: who is the song about you're so vain? Answer:,Actor Warren Beatty,David Bowie. (Note:
1988,Answer the question concisely with only the answer: when did oklahoma university win the national championship? Answer:,"1950, 1955, 1956, 1974, 1975, 1985, 2000","1955, 195"
1989,Answer the question concisely with only the answer: who has won the most mvp in nba history? Answer:,Kareem Abdul - Jabber,Kareem Abdul-Jabbar
1990,Answer the question concisely with only the answer: how many schedule the constitution of india contains? Answer:,12,8 Schedules. Step
1991,Answer the question concisely with only the answer: who plays jesus in the movie mary magdalene? Answer:,Joaquin Phoenix,Roar Uthaug.
1992,Answer the question concisely with only the answer: when was the fast and the furious made? Answer:,2001,"2001. 
The"
1993,Answer the question concisely with only the answer: who starred in the original orient express movie? Answer:,"Ingrid Bergman, Albert Finney, Sean Connery, John Gielgud, Vanessa Redgrave, Michael York, Jacqueline Basset, Anthony Perkins, Wendy Hitler",Albert Finney and Lauren Bac
1994,Answer the question concisely with only the answer: who won the season 11 of the voice? Answer:,Sun dance Head,Cassadee Pope.
1995,Answer the question concisely with only the answer: when does stark die in game of thrones? Answer:,"The ninth episode of season, `` Baylor ''",At the end of Season
1996,Answer the question concisely with only the answer: who plays victor on fear the walking dead? Answer:,", Domingo",Colman Domingo.
1997,Answer the question concisely with only the answer: when does the movie the first man come out? Answer:,"October 12, 2018","April 12, 201"
1998,Answer the question concisely with only the answer: who was the first person who invented the light bulb? Answer:,Thomas Alva Edison,"Thomas Edison. 
The question"
1999,Answer the question concisely with only the answer: where does the maze runner book take place? Answer:,The Glade,"The Glade, a mysterious"
2000,Answer the question concisely with only the answer: where is the field of dreams field located? Answer:,"Dubuque County, Iowa, Near Ayersville","Dyersville, Iowa."
2001,Answer the question concisely with only the answer: how is polly related to tommy shelby in peaky blinders? Answer:,The aunt of Tommy,She is his sister.
2002,Answer the question concisely with only the answer: who invented the standard unit of measuring temperature? Answer:,Kelvin,Gabriel Fahrenheit. who invented the
2003,Answer the question concisely with only the answer: who sings might as well go for a soda? Answer:,Joseph Kim Mitchell,"Nada Surf. 
Answer"
2004,Answer the question concisely with only the answer: what is the song rain by swv about? Answer:,Based on Jack Pastorius's `` Portrait of Tracy.,"The song ""Rain"" by"
2005,Answer the question concisely with only the answer: how many floors does the aria las vegas have? Answer:,61,"4. 

The A"
2006,Answer the question concisely with only the answer: the genetic code is contained within the nucleotide sequences of what type of organic molecule? Answer:,Polymeric macromolecules,DNA and RNA. DNA and
2007,Answer the question concisely with only the answer: who plays the big monkey in the jungle book? Answer:,Christopher Walken,"Jason Scott Lee. 
The"
2008,Answer the question concisely with only the answer: an option market hedge in foreign exchange risk management is a form of an? Answer:,Foreign exchange hedge,"Option hedge.

## Step"
2009,Answer the question concisely with only the answer: where do the new york giants play their home games? Answer:,"MetLife Stadium in East Rutherford, New Jersey",MetLife Stadium in East R
2010,Answer the question concisely with only the answer: when did american samoa become a us territory? Answer:,1899,"1900.
American Samoa"
2011,Answer the question concisely with only the answer: where is the 11 foot 8 inch bridge? Answer:,"Durham, North Carolina","Jacksonville, Florida. 
The"
2012,Answer the question concisely with only the answer: who laid out the first mughal garden in india? Answer:,Ba bur,"Babur.
Answer the question"
2013,Answer the question concisely with only the answer: who is the author of the little mermaid? Answer:,Hans Christian Andersen,"Hans Christian Andersen. 
The"
2014,Answer the question concisely with only the answer: who plays the main character in fantastic beasts and where to find them? Answer:,Eddie Redman,Eddie Redmayne.
2015,Answer the question concisely with only the answer: what kind of tissue is tendons and ligaments? Answer:,Fibrous connective tissue,"Connective
Answer the question"
2016,Answer the question concisely with only the answer: who sings have i told you that i love you? Answer:,Northern Irish singer-songwriter Van Morrison,"Adele. 
Ade"
2017,Answer the question concisely with only the answer: where was pride and prejudice filmed with keira knightley? Answer:,England,"Various locations in England, including"
2018,Answer the question concisely with only the answer: what is hero's last name in big hero 6? Answer:,Ramada,"Callaghan. 
Answer the"
2019,Answer the question concisely with only the answer: where was the declaration of independence signed at? Answer:,"Pennsylvania State House (Independence Hall) in Philadelphia, Pennsylvania","Philadelphia
Answer the question conc"
2020,Answer the question concisely with only the answer: who has the highest goal in la liga? Answer:,Barcelona's Lionel Messi,"Lionel Messi. 
Note:"
2021,Answer the question concisely with only the answer: when did the glock gen 2 come out? Answer:,1988,"1985. 
When"
2022,Answer the question concisely with only the answer: who were the two spies who gave a good report of the promised land? Answer:,Joshua and Caleb,"Joshua and Caleb. 
Answer"
2023,Answer the question concisely with only the answer: when did the first captain america come out? Answer:,"December 20, 1940",1941. The first
2024,Answer the question concisely with only the answer: who plays jack on secret life of the american teenager? Answer:,Gregory P. Finley II,Daren Kagasoff.
2025,Answer the question concisely with only the answer: what do you mean by adapted physical education? Answer:,"The art and science of developing, implementing, And monitoring a carefully designed physical education instructional program for a learner with a disability, Based on a comprehensive assessment, To give the learner the skills necessary for a lifetime of rich leisure, recreation, And sport experiences to enhance physical fitness and wellness",It is a type of physical
2026,Answer the question concisely with only the answer: who won so you think you can dance season 2? Answer:,Benji Swimmer,"Benji Schwimmer.
Answer"
2027,Answer the question concisely with only the answer: who has the most tackles in a nfl game? Answer:,Chris Bowland,"Ray Lewis. 
Who holds"
2028,Answer the question concisely with only the answer: what was a stoker in the royal navy? Answer:,Job title for someone whose job is to tend the fire for the running of a steam engine,"A fireman.
A fire"
2029,Answer the question concisely with only the answer: when was fosters home for imaginary friends made? Answer:,"August 13, 2004, May, 2009","1999. 
Answer"
2030,Answer the question concisely with only the answer: when was the first battle of plassey fought? Answer:,23 June 1757,23 june 175
2031,Answer the question concisely with only the answer: does the clone wars movie or show come first? Answer:,film,The show comes first.
2032,Answer the question concisely with only the answer: who plays the president in house of cards? Answer:,Michel Gill,"Kevin Spacey. 
House"
2033,Answer the question concisely with only the answer: where will the fifa world cup be held in 2022? Answer:,Qatar,"Qatar.

Answer the question conc"
2034,Answer the question concisely with only the answer: what is the definition of a sex offender? Answer:,A person who has committed a sex crime,A sex offender is an individual
2035,Answer the question concisely with only the answer: which country has played the most world cup matches? Answer:,Brazil,"Germany. 
Which country has"
2036,Answer the question concisely with only the answer: how tall is jessie graff american ninja warrior? Answer:,Ft in,"5'4""."
2037,Answer the question concisely with only the answer: when did labrador become a part of newfoundland? Answer:,1809,"1809. 
When"
2038,Answer the question concisely with only the answer: when does deeks first appear in ncis la? Answer:,"April 27, 2010","Season 1, Episode"
2039,Answer the question concisely with only the answer: who was you make loving fun written about? Answer:,Curry Grant,"Elton John. 
Answer"
2040,Answer the question concisely with only the answer: how many feet in 1 acre of land? Answer:,"43,560 square feet","43,560
Answer"
2041,Answer the question concisely with only the answer: what is the heart of the ocean made of? Answer:,Cubic zirconias set in white gold,1.6 million car
2042,Answer the question concisely with only the answer: who sings opening song on sunday night football? Answer:,Carrie Underwood,"Carrie Underwood.
Who sings"
2043,Answer the question concisely with only the answer: what are the laws in new york regarding texting or phoning while driving? Answer:,Prohibit all drivers from using hand - held cell phones,"In New York, texting or"
2044,Answer the question concisely with only the answer: who plays benny the bull in real life? Answer:,Barry Anderson,"Anthony Caruso. 
Answer"
2045,Answer the question concisely with only the answer: what does the srt stand for on dodge vehicles? Answer:,Street & Racing Technology,"Sport, Track, and Technology"
2046,Answer the question concisely with only the answer: when did china become a member of the united nations? Answer:,"October 24, 1945","October 24, 197"
2047,Answer the question concisely with only the answer: bsf is responsible for gardening on border of which country? Answer:,India,"India
Answer the question conc"
2048,Answer the question concisely with only the answer: what date did riverdale season 1 start airing on tv? Answer:,"January 26, 2017","October 11, 201"
2049,Answer the question concisely with only the answer: when is dragon ball z fighters coming out? Answer:,"January 26, 2018",Not available. This information is
2050,Answer the question concisely with only the answer: who played aragon in the lord of the rings movies? Answer:,Mortensen,Viggo Mortensen.
2051,Answer the question concisely with only the answer: what was the total number of deaths in ww1? Answer:,More than 41 million,"37 million. 
Note"
2052,Answer the question concisely with only the answer: where is the women's sec basketball tournament being played? Answer:,"At Bridgestone Arena in Nashville, Tennessee",The Greensboro Coliseum in
2053,Answer the question concisely with only the answer: when did fingerprints start being used by the police? Answer:,1892,"1892. 
When"
2054,Answer the question concisely with only the answer: who came up with the basis of modern atomic theory? Answer:,Han taro Nagoya,"John Dalton.

## Step"
2055,Answer the question concisely with only the answer: when did they start screening newborns for cystic fibrosis? Answer:,1981,"1979. 
Screen"
2056,Answer the question concisely with only the answer: how many years did it take for odysseus to get home? Answer:,ten,"20 years.
Answer the"
2057,Answer the question concisely with only the answer: who is the girl in overly attached girlfriend? Answer:,Lana Morris,"Yuna.
Answer the question"
2058,Answer the question concisely with only the answer: who took over toad hall from mr toad? Answer:,"Mole, Rat",The Weasels. who
2059,Answer the question concisely with only the answer: when did lucid dreams the song come out? Answer:,"March 13, 2018","2020. 
Luc"
2060,Answer the question concisely with only the answer: who came second in the overall ranked of the tour de france last year? Answer:,Rigoberto Ran,"Geraint Thomas. 

Note"
2061,Answer the question concisely with only the answer: who sings i had the time of my life in dirty dancing? Answer:,"Bill Medley, Jennifer Warner",Bill Medley and Jennifer Warn
2062,Answer the question concisely with only the answer: how many levels are there on tapped out? Answer:,939,"15. 
Tapped"
2063,Answer the question concisely with only the answer: where was legends of the fall house filmed? Answer:,Ghost River Wilderness Area,"Jackson Hole, Wyoming. ("
2064,Answer the question concisely with only the answer: who sings hawaiian version of somewhere over the rainbow? Answer:,Kamakawiwoʻole,Israel Kamakawiwo'
2065,Answer the question concisely with only the answer: what are the five sorrowful mysteries of the holy rosary? Answer:,"Agony in the Garden, Scourging at the Pillar, Crowning with Thorns, Carrying of the Cross, Crucifixion and Death of our Lord",The five sorrowful mysteries of
2066,Answer the question concisely with only the answer: when does the next season of greenhouse academy? Answer:,"February 14, 2018","Unfortunately, I do not have"
2067,Answer the question concisely with only the answer: how many senators up for election in 2018? Answer:,33,"35.
Answer the question"
2068,Answer the question concisely with only the answer: who is left in the big brother house 20? Answer:,Jaycee Clark,"Dan Gheesling,"
2069,Answer the question concisely with only the answer: who did the lions play on thanksgiving last year? Answer:,Minnesota Vikings,The Green Bay Packers. Answer
2070,Answer the question concisely with only the answer: under which article supreme court has the power to review its own judgement? Answer:,Review Petition,Article 137. (Ans
2071,Answer the question concisely with only the answer: when did friends in low places come out? Answer:,"August, 1990","1999. 
The"
2072,Answer the question concisely with only the answer: when was the first star wars film made? Answer:,"Released on May 25, 1977","1977.
Answer the"
2073,Answer the question concisely with only the answer: term of office judicial branch in the philippines? Answer:,Until the age of 70,"15 years.
Answer the"
2074,Answer the question concisely with only the answer: who is the writer of bande utkal janani? Answer:,Katakana Laxmikanta Mohapatra,Satchidananda Raut
2075,Answer the question concisely with only the answer: when did the nba extend the 3 point line? Answer:,1997 -- 98,"1994.
The NBA"
2076,Answer the question concisely with only the answer: what was the power structure of the byzantine empire? Answer:,Byzantine army,The Byzantine Empire was a
2077,Answer the question concisely with only the answer: who played davy jones in the pirates of the caribbean? Answer:,Bill Night,"Bill Nighy.
Answer"
2078,Answer the question concisely with only the answer: in the original star wars trilogy who is the only rebel pilot to survive all three movies? Answer:,Wedge Antilles,Wedge Antilles.
2079,Answer the question concisely with only the answer: how much money to be upper middle class? Answer:,"Incomes commonly may exceed $100,000","$250,000. According"
2080,Answer the question concisely with only the answer: which members of super junior are in the army? Answer:,Kyuhyun,"Eunhyuk, Ky"
2081,Answer the question concisely with only the answer: where does the word cocktail come from wikipedia? Answer:,Origin of the word cocktail is disputed,The word cocktail is believed to
2082,Answer the question concisely with only the answer: what percent of the distribution lies within one standard deviation of the mean? Answer:,68.27 %,68.3% or
2083,Answer the question concisely with only the answer: who played joe jackson in the jackson 5 movie? Answer:,Lawrence Hilton - Jacobs,"Michael Jackson.
Answer the question"
2084,Answer the question concisely with only the answer: where is this year's commonwealth games being held? Answer:,"Gold Coast, Queensland, Australia","Birmingham, England. 
The"
2085,Answer the question concisely with only the answer: who sings the steel dragon songs in rockstar? Answer:,"Milken Motivic, Brian Wander Ark","Buckcherry, Default,"
2086,Answer the question concisely with only the answer: what is the highest hindu caste in india? Answer:,Generally the Brahmins,"Brahmin.
Answer the question"
2087,Answer the question concisely with only the answer: how many times has the kings won the stanley cup? Answer:,two,3 times. Thank you
2088,Answer the question concisely with only the answer: where does the tap water in london come from? Answer:,"Non-tidal parts of the Thames and Lea, Abstracted from underground sources",the tap water in London comes
2089,Answer the question concisely with only the answer: who plays the mother on rizzoli and isles? Answer:,Lorraine Branch,"Angie Harmon. 
The R"
2090,Answer the question concisely with only the answer: where does a river runs through it take place? Answer:,"Missoula, Montana","Oregon. 
This response is"
2091,Answer the question concisely with only the answer: how many rounds does the nfl draft have? Answer:,seven,"7. 

This question"
2092,Answer the question concisely with only the answer: who made the whip and nae nae song? Answer:,Silent,"Silentó. 
The Whip"
2093,Answer the question concisely with only the answer: 1st nfl player to kneel during national anthem? Answer:,Colin Kaepernick,"Colin Kaepernick.

## Step"
2094,Answer the question concisely with only the answer: is the first round of nhl playoffs best of 5 or best of 7? Answer:,Best - of - seven,Best of 7. is
2095,Answer the question concisely with only the answer: who does lucy hale play on pretty little liars? Answer:,Aria Montgomery,"Aria Montgomery. 
Who"
2096,Answer the question concisely with only the answer: where were the entombed terracotta warriors found in china? Answer:,Approximately. Kilometres (.93 mi) east of the Qin Emperor's tomb mound at Mount Li (Li shan),"Xi'an.
Answer the question"
2097,Answer the question concisely with only the answer: where is the tv series blue bloods filmed? Answer:,On location in New York City with occasional references to nearby suburbs,"New York City, New York"
2098,Answer the question concisely with only the answer: who wrote you should go and love yourself? Answer:,"Ed Sheeran, Benny Blanco and Bieber","Beyoncé. 
The full"
2099,Answer the question concisely with only the answer: who sang i'm no stranger to the rain? Answer:,Keith Whitley,"Mel Tormé sang """
2100,Answer the question concisely with only the answer: when does the gifted season 2 come on? Answer:,"September 25, 2018",There is no official release date
2101,Answer the question concisely with only the answer: who sings the theme song to freaks and geeks? Answer:,Michael Andrews,James Blunt. I apologize
2102,Answer the question concisely with only the answer: when was the first edition of the oxford english dictionary completed? Answer:,1928,"1928.
Answer the"
2103,Answer the question concisely with only the answer: who becomes president if both the president and vice president are killed? Answer:,Speaker of the House of Representatives,The Speaker of the House of
2104,Answer the question concisely with only the answer: what does the word sahara mean in arabic? Answer:,The plural of the Arabic word for `` desert '',"desert.
Sahara Desert"
2105,Answer the question concisely with only the answer: who plays mr. brown on meet the browns? Answer:,David Anthony Mann,David Alan Grier.
2106,Answer the question concisely with only the answer: who was the actress who played princess leia? Answer:,Carrie Frances Fisher,"Carrie Fisher. 
Answer the"
2107,Answer the question concisely with only the answer: when does the next maze runner movie come out? Answer:,"January 26, 2018","March 2, 202"
2108,Answer the question concisely with only the answer: where did the concept of human rights come from? Answer:,The era of renaissance humanism in the early modern period,The concept of human rights has
2109,Answer the question concisely with only the answer: what part of the ship is the hull? Answer:,Watertight body,The bottom part. What is
2110,Answer the question concisely with only the answer: what is the system of government in indonesia? Answer:,Presidential representative democratic republic,Unitary Presidential Constitutional Republic.
2111,Answer the question concisely with only the answer: where does the last name brown come from? Answer:,"English - language surname in origin chiefly descriptive of a person with brown hair, Complexion or clothing",The last name Brown is of
2112,Answer the question concisely with only the answer: how many types of usa visa are there? Answer:,About 185,"80
Types of USA"
2113,Answer the question concisely with only the answer: themes in my mother said i never should? Answer:,"independence, Growing up, secrets","Parental disapproval, regret"
2114,Answer the question concisely with only the answer: which 16th-century explorer sailed around the world in a ship called the golden hinde? Answer:,Sir Francis Drake,"Sir Francis Drake.
Answer the"
2115,Answer the question concisely with only the answer: where do you find the lords prayer in the bible? Answer:,"The long form in the Gospel of Matthew in the middle of the Sermon on the Mount, The short form in the Gospel of Luke",Matthew 6:9-
2116,Answer the question concisely with only the answer: which three countries have been most involved in the conflict over kashmir? Answer:,"India, Pakistan, China","India, Pakistan, and China"
2117,Answer the question concisely with only the answer: when did spongebob sponge out of water come out? Answer:,"February, 2015","2015. 
Answer"
2118,Answer the question concisely with only the answer: how many characters are there in guess who? Answer:,24,"4.
Answer the question"
2119,Answer the question concisely with only the answer: how many episodes in season 3 of switched at birth? Answer:,22,"13 episodes. 
Answer"
2120,Answer the question concisely with only the answer: who wrote the passion of ss perpetua and felicitas? Answer:,"The young mother and martyr Perpetual, Seizures, Another Christian martyred, An editor","Prudentius.
Answer the"
2121,Answer the question concisely with only the answer: who presides over the meeting of rajya sabha? Answer:,The Vice President of India,The Vice President of India pres
2122,Answer the question concisely with only the answer: how many chipotle locations are there in canada? Answer:,11,40. How many Chip
2123,Answer the question concisely with only the answer: who plays murray's father on the goldbergs? Answer:,Judd Hirsch,"Jeff Garlin. 
Who"
2124,Answer the question concisely with only the answer: what is the population of the usa in 2017? Answer:,"323,127,513 as of July, 2016","331,449,281"
2125,Answer the question concisely with only the answer: who won the us open tennis women's singles championship in 2013? Answer:,Serena Williams,"Serena Williams.
Answer the question"
2126,Answer the question concisely with only the answer: who did robb stark marry in season 2? Answer:,One of Walker Frey's daughters or granddaughters,Catlyn Stark. (Note
2127,Answer the question concisely with only the answer: when did the song love hurts come out? Answer:,December 1960,1979. When was
2128,Answer the question concisely with only the answer: who plays dr glassman on the good doctor? Answer:,Richard Schiff,"Richard Schiff. 
Who plays"
2129,Answer the question concisely with only the answer: which is the fn key on a mac? Answer:,Key at the bottom left of the keyboard,"Function key. 
The fn"
2130,Answer the question concisely with only the answer: size of each interior angle of a regular heptagon? Answer:,Π / radians (128 ​ ⁄ degrees),"128.57

##"
2131,Answer the question concisely with only the answer: where was the film ring of bright water filmed? Answer:,Hollenbach on the Isle of Sal,Scotland. Next question: what
2132,Answer the question concisely with only the answer: ravi teja raja the great movie release date? Answer:,18 October 2017,"2014.
Next story"
2133,Answer the question concisely with only the answer: when does the movie a time to kill take place? Answer:,"Ford County, Mississippi","1984.?
The"
2134,Answer the question concisely with only the answer: who is the doctor who died on night shift? Answer:,Topper,Dr. Robert Caldwell.
2135,Answer the question concisely with only the answer: how many times have tom brady been to superbowl? Answer:,eight,"10.
Answer the question"
2136,Answer the question concisely with only the answer: where does an embryo usually attach to its mother? Answer:,The wall of the uterus,the uterine lining.
2137,Answer the question concisely with only the answer: delivers it enabled services via internet that are built for the end user to be in control? Answer:,Internet television,Amazon Web Services (AWS)
2138,Answer the question concisely with only the answer: where was my side of the mountain filmed? Answer:,"In Kowloon, Quebec, In the Green Mountains of Quebec, Canada, And Toronto","The movie ""My Side of"
2139,Answer the question concisely with only the answer: when does love simon come out to dvd? Answer:,"June 12, 2018","May 21, 201"
2140,Answer the question concisely with only the answer: who plays ted jones son in pineapple express? Answer:,Troy Gentile,"James Franco. 
James Franco"
2141,Answer the question concisely with only the answer: are neiman marcus and bergdorf goodman the same? Answer:,Berger Goodman is a subsidiary of Newman Marcus,"No.
Are Neiman Marcus"
2142,Answer the question concisely with only the answer: who sang original you don't own me? Answer:,Lesley Gore,"Lesley Gore. 
The"
2143,Answer the question concisely with only the answer: who sings in the diet dr. pepper commercial? Answer:,Justin Guarani,The Fresh Prince of
2144,Answer the question concisely with only the answer: what arm of the galaxy are we in? Answer:,Orion Arm,"The Orion Arm. 
The"
2145,Answer the question concisely with only the answer: who played robert's mother on grace and frankie? Answer:,Lois Smith,"Marsha Mason. 
Answer"
2146,Answer the question concisely with only the answer: when does the new real l word season start? Answer:,"July 12, 2012",There is no official release date
2147,Answer the question concisely with only the answer: who wants to be a millionaire 2018 most won? Answer:,£ million,"Manu Kumar Jain.
Who"
2148,Answer the question concisely with only the answer: when did the vat rate change from 17.5 to 20? Answer:,January 2011,1st April 201
2149,Answer the question concisely with only the answer: what day is armed forces day in the us? Answer:,Third Saturday in May,June 14th.
2150,Answer the question concisely with only the answer: who is jake's mom in the dark tower? Answer:,Katheryn Win nick as Laurie Chambers,"Susan Delgado. 
If"
2151,Answer the question concisely with only the answer: when is world water day celebrated and why? Answer:,"22 March, To highlight the importance of freshwater","March 22nd, to"
